"X","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID.SPECIES.LEVEL","LIPID.MOLECULAR.SPECIES.LEVEL","LIPID.SN.POSITION.LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin","Standardized name"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
1,186,209,64334,237350,"Amino Acid","Tryptophan Metabolism",272,"NAMED","BYHJHXPTQMMKCA-UHFFFAOYSA-N","NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O","N-formylkynurenine","N-formylkynurenine",NA,NA,NA,"1022-31-7","886","HMDB0001200","C15605,C02406,C02700","910","Neg","n_formylkynurenine",17,"n_formylkynurenine","sample_cohort","N-Formylkynurenine"
2,922,402,1759,211070,"Lipid","Dihydroceramides",3040,"NAMED","KZTJQXAANJHSCE-OIDHKYIRSA-N","CCCCCCCCCCCCCCCCCC(N[C@H]([C@H](O)CCCCCCCCCCCCCCC)CO)=O","N-stearoyl-sphinganine (d18:0/18:0)*","N-stearoyl-sphinganine (d18:0/18:0)*","CER 36:0;O2","CER 18:0; O2_18:0","CER 18:0; O2/18:0","2304-80-5","4446686","HMDB0011761",NA,"5283573","Pos Late","n_stearoyl_sphinganine_d18_0_18_0",125,"n_stearoyl_sphinganine_d18_0_18_0","sample_cohort","Cer 18:0;O2/18:0"
3,1224,400,18368,155661,"Amino Acid","Glutathione Metabolism",587,"NAMED","KDJVKDYFFTWHBO-UHFFFAOYSA-N","O=C(NCC(O)=O)C(N)CSSCC(N)C(NCC(O)=O)=O","cys-gly, oxidized","cys-gly, oxidized",NA,NA,NA,"7729-20-6","295316",NA,NA,"333293","Pos Early","cys_gly_oxidized",170,"cys_gly_oxidized","sample_cohort","CYS-GLY, oxidized"
4,1235,400,18245,155638,"Peptide","Gamma-glutamyl Amino Acid",654,"NAMED","PXVCMZCJAUJLJP-YUMQZZPRSA-N","O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O","gamma-glutamylhistidine","gamma-glutamylhistidine",NA,NA,NA,"37460-15-4","5380197","HMDB0029151",NA,"7017195","Pos Early","gamma_glutamylhistidine",173,"gamma_glutamylhistidine","sample_cohort","gamma-Glutamylhistidine"
4,1235,400,18245,155638,"Peptide","Gamma-glutamyl Amino Acid",654,"NAMED","PXVCMZCJAUJLJP-YUMQZZPRSA-N","O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O","gamma-glutamylhistidine","gamma-glutamylhistidine",NA,NA,NA,"37460-15-4","5380197","HMDB0029151",NA,"7017195","Pos Early","gamma_glutamylhistidine",173,"gamma_glutamylhistidine","sample_cohort","gamma-Glutamylhistidine"
4,1235,400,18245,155638,"Peptide","Gamma-glutamyl Amino Acid",654,"NAMED","PXVCMZCJAUJLJP-YUMQZZPRSA-N","O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O","gamma-glutamylhistidine","gamma-glutamylhistidine",NA,NA,NA,"37460-15-4","5380197","HMDB0029151",NA,"7017195","Pos Early","gamma_glutamylhistidine",173,"gamma_glutamylhistidine","sample_cohort","gamma-Glutamylhistidine"
5,2048,209,45721,145263,"Xenobiotics","Drug - Analgesics, Anesthetics",5421,"NAMED","DVPRQNKJGQEICH-JTQLQIEISA-N","O=C(C)NC1=CC(SC[C@@H](C(O)=O)NC(C)=O)=C(O)C=C1","3-(N-acetyl-cystein-S-yl) acetaminophen","3-(N-acetyl-cystein-S-yl) acetaminophen",NA,NA,NA,"52372-86-8","75765",NA,NA,"83967","Neg","3_n_acetyl_cystein_s_yl_acetaminophen",200,"3_n_acetyl_cystein_s_yl_acetaminophen","sample_cohort","3-(N-Acetyl-L-cystein-S-yl) acetaminophen"
