"","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin"
"1",35,400,42370,166164,"Amino Acid","Glutamate Metabolism",64,"NAMED","DWAKNKKXGALPNW-UHFFFAOYSA-N","OC(C1CCC=N1)=O","S-1-pyrroline-5-carboxylate","S-1-pyrroline-5-carboxylate",NA,NA,NA,"2906-39-0","10140206","HMDB0001301","C04322","11966181","Pos Early","s_1_pyrroline_5_carboxylate",1,"HMDB0001301","COMETS"
"2",50,400,485,155305,"Amino Acid","Polyamine Metabolism",554,"NAMED","ATHGHQPFGPMSJY-UHFFFAOYSA-N","NCCCCNCCCN","spermidine","spermidine",NA,NA,NA,"124-20-9","1071","HMDB0001257","C00315","1102","Pos Early","spermidine",2,"HMDB0001257","COMETS"
"3",55,400,27665,155829,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4351,"NAMED","LDHMAVIPBRSVRG-UHFFFAOYSA-N","C[N+]1=CC(C([NH-])=O)=CC=C1","1-methylnicotinamide","1-methylnicotinamide",NA,NA,NA,"1005-24-9","8305504","HMDB0000699","C02918","457","Pos Early","1_methylnicotinamide",3,"HMDB0000699","COMETS"
"4",62,209,38395,143675,"Lipid","Fatty Acid, Dihydroxy",2053,"NAMED","CQSLTKIXAJTQGA-FLIBITNWSA-N","CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O","12,13-DiHOME","12,13-DiHOME",NA,NA,NA,"263399-35-5","8412123","HMDB0004705","C14829","10236635","Neg","12_13_dihome",4,"HMDB0004705","COMETS"
"5",93,305,528,146398,"Energy","TCA Cycle",1464,"NAMED","KPGXRSRHYNQIFN-UHFFFAOYSA-N","O=C(C(O)=O)CCC(O)=O","alpha-ketoglutarate","alpha-ketoglutarate",NA,NA,NA,"328-50-7,22202-68-2,305-72-6","50","HMDB0000208","C00026","51","Polar","alpha_ketoglutarate",5,"HMDB0000208","COMETS"
"6",93,305,528,146398,"Energy","TCA Cycle",1464,"NAMED","KPGXRSRHYNQIFN-UHFFFAOYSA-N","O=C(C(O)=O)CCC(O)=O","alpha-ketoglutarate","alpha-ketoglutarate",NA,NA,NA,"328-50-7,22202-68-2,305-72-6","50","HMDB0000208","C00026","51","Polar","alpha_ketoglutarate",5,"HMDB0000208_M33453","COMETS"
"7",98,209,1417,124553,"Amino Acid","Tryptophan Metabolism",278,"NAMED","HCZHHEIFKROPDY-UHFFFAOYSA-N","OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1","kynurenate","kynurenate",NA,NA,NA,"492-27-3","3712","HMDB0000715","C01717","3845","Neg","kynurenate",6,"HMDB0000715","COMETS"
"8",111,305,1549,147711,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",434,"NAMED","DBXBTMSZEOQQDU-UHFFFAOYSA-N","CC(C(O)=O)CO","3-hydroxyisobutyrate","3-hydroxyisobutyrate",NA,NA,NA,"2068-83-9","10140307","HMDB0000336","C01188,C06001","11966314","Polar","3_hydroxyisobutyrate",7,"HMDB0000336","COMETS"
"9",112,305,531,146400,"Lipid","Mevalonate Metabolism",3204,"NAMED","NPOAOTPXWNWTSH-UHFFFAOYSA-N","CC(CC(O)=O)(CC(O)=O)O","3-hydroxy-3-methylglutarate","3-hydroxy-3-methylglutarate",NA,NA,NA,"503-49-1","4573695","HMDB0000355","C03761","1662,5459993","Polar","3_hydroxy_3_methylglutarate",8,"HMDB0000355","COMETS"
"10",132,400,1414,155361,"Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1255,"NAMED","OSJPPGNTCRNQQC-UHFFFAOYSA-N","OC(C(O)=O)COP(O)(O)=O","3-phosphoglycerate","3-phosphoglycerate",NA,NA,NA,"80731-10-8","10669764","HMDB0000807","C00597","724","Pos Early","3_phosphoglycerate",9,"HMDB0000807","COMETS"
"11",136,209,22842,124689,"Lipid","Primary Bile Acid Metabolism",3486,"NAMED","BHQCQFFYRZLCQQ-OLRQUHAPSA-N","O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1","cholate","cholate",NA,NA,NA,"81-25-4",NA,"HMDB0000619","C00695","221493","Neg","cholate",10,"HMDB0000619","COMETS"
"12",158,209,1418,123205,"Nucleotide","Pyrimidine Metabolism, Thymine containing",4315,"NAMED","NBAKTGXDIBVZOO-UHFFFAOYSA-N","O=C(NCC1C)NC1=O","5,6-dihydrothymine","5,6-dihydrothymine",NA,NA,NA,"696-04-8","84456","HMDB0000079","C00906","93556","Neg","5_6_dihydrothymine",11,"HMDB0000079","COMETS"
"13",171,305,3127,145750,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4155,"NAMED","FDGQSTZJBFJUBT-UHFFFAOYSA-N","O=C1C(N=CN2)=C2N=CN1","hypoxanthine","hypoxanthine",NA,NA,NA,"68-94-0","768","HMDB0000157","C00262","790,135398638","Polar","hypoxanthine",12,"HMDB0000157","COMETS"
"14",171,305,3127,145750,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4155,"NAMED","FDGQSTZJBFJUBT-UHFFFAOYSA-N","O=C1C(N=CN2)=C2N=CN1","hypoxanthine","hypoxanthine",NA,NA,NA,"68-94-0","768","HMDB0000157","C00262","790,135398638","Polar","hypoxanthine",12,"HMDB0000157_HPOS_QI139","COMETS"
"15",179,209,38399,143740,"Lipid","Fatty Acid, Dihydroxy",2054,"NAMED","XEBKSQSGNGRGDW-YFHOEESVSA-N","CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O","9,10-DiHOME","9,10-DiHOME",NA,NA,NA,"263399-34-4","8142232","HMDB0004704","C14828","9966640","Neg","9_10_dihome",13,"HMDB0004704","COMETS"
"16",180,209,1105,125969,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1590,"NAMED","OYHQOLUKZRVURQ-HZJYTTRNSA-N","OC(CCCCCCC/C=C\C/C=C\CCCCC)=O","linoleate (18:2n6)","linoleate (18:2n6)",NA,NA,NA,"60-33-3","4444105","HMDB0000673","C01595","5280450","Neg","linoleate_18_2n6",14,"HMDB0000673","COMETS"
"17",181,209,1645,125740,"Lipid","Medium Chain Fatty Acid",1525,"NAMED","POULHZVOKOAJMA-UHFFFAOYSA-N","O=C(O)CCCCCCCCCCC","laurate (12:0)","laurate (12:0)",NA,NA,NA,"143-07-7","3756","HMDB0000638","C02679","3893","Neg","laurate_12_0",15,"HMDB0000638","COMETS"
"18",182,305,1899,146452,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4335,"NAMED","GJAWHXHKYYXBSV-UHFFFAOYSA-N","OC(C(C=CC=N1)=C1C(O)=O)=O","quinolinate","quinolinate",NA,NA,NA,"89-00-9","1037","HMDB0000232","C03722","1066","Polar","quinolinate",16,"HMDB0000232","COMETS"
"19",189,400,1498,155380,"Amino Acid","Lysine Metabolism",119,"NAMED","MXNRLFUSFKVQSK-UHFFFAOYSA-N","C[N+](C)(CCCCC(C([O-])=O)N)C","N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",NA,NA,NA,"23284-33-5","140379","HMDB0001325","C03793","440120","Pos Early","n6_n6_n6_trimethyllysine",18,"HMDB0001325","COMETS"
"20",192,400,37496,156406,"Amino Acid","Polyamine Metabolism",547,"NAMED","KLZGKIDSEJWEDW-UHFFFAOYSA-N","CC(NCCCCN)=O","N-acetylputrescine","N-acetylputrescine",NA,NA,NA,"18233-70-0","109095","HMDB0002064","C02714","122356","Pos Early","n_acetylputrescine",19,"HMDB0002064","COMETS"
"21",194,209,2829,124831,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",444,"NAMED","PYUSHNKNPOHWEZ-UHFFFAOYSA-N","CSCCC(C(O)=O)NC=O","N-formylmethionine","N-formylmethionine",NA,NA,NA,"4289-98-9","388809","HMDB0001015","C03145","439750","Neg","n_formylmethionine",20,"HMDB0001015","COMETS"
"22",197,209,42382,124939,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",453,"NAMED","ZJUKTBDSGOFHSH-UHFFFAOYSA-N","OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O","S-adenosylhomocysteine (SAH)","S-adenosylhomocysteine (SAH)",NA,NA,NA,"979-92-0","16788012","HMDB0000939","C00021","439155","Neg","s_adenosylhomocysteine_sah",21,"HMDB0000939","COMETS"
"23",207,209,2831,123233,"Nucleotide","Purine Metabolism, Adenine containing",4177,"NAMED","IVOMOUWHDPKRLL-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O","adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)",NA,NA,NA,"60-92-4","268","HMDB0000058","C00575","6076","Neg","adenosine 3'_5'_cyclic monophosphate_camp",22,"HMDB0000058","COMETS"
"24",208,400,3108,155484,"Nucleotide","Purine Metabolism, Adenine containing",4173,"NAMED","XTWYTFMLZFPYCI-KQYNXXCUSA-N","NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3","adenosine 5'-diphosphate (ADP)","ADP",NA,NA,NA,"20398-34-9","5800","HMDB0001341","C00008","6022","Pos Early","adenosine 5'_diphosphate_adp",23,"HMDB0001341","COMETS"
"25",209,400,32342,155907,"Nucleotide","Purine Metabolism, Adenine containing",4174,"NAMED","UDMBCSSLTHHNCD-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O","adenosine 5'-monophosphate (AMP)","AMP",NA,NA,NA,"149022-20-8","10239183","HMDB0000045","C00020","6083","Pos Early","adenosine 5'_monophosphate_amp",24,"HMDB0000045","COMETS"
"26",212,400,1419,155365,"Amino Acid","Polyamine Metabolism",565,"NAMED","WUUGFSXJNOTRMR-IOSLPCCCSA-N","NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3","5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)",NA,NA,NA,"2457-80-9","388321","HMDB0001173","C00170","439176","Pos Early","5_methylthioadenosine_mta",25,"HMDB0001173","COMETS"
"27",215,209,558,125963,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4361,"NAMED","SDMADEZQMYCSNO-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O","adenosine 5'-diphosphoribose (ADP-ribose)","adenosine 5'-diphosphoribose (ADP-ribose)",NA,NA,NA,"68414-18-6","3674071","HMDB0001178","C00301","192","Neg","adenosine 5'_diphosphoribose_adp_ribose",26,"COMP558","COMETS"
