Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
1,,,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5846,True,False,,linolenate [alpha or gamma; (18:3n3 or 6)],,,,,False,True,True
1,,,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,1,True,False,,linolenate [alpha; (18:3n3)],,,,,False,True,True
1,,,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,1,True,False,,linolenate [gamma; (18:3n6)],,,,,False,True,True
2,,,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5847,True,False,,Linolenate [alpha or gamma; (18:3n3 or 6)],,,,,False,True,True
2,,,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,2,True,False,,Linolenate [alpha; (18:3n3)],,,,,False,True,True
2,,,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,2,True,False,,Linolenate [gamma; (18:3n6)],,,,,False,True,True
3,,,HMDB02925,dihomo_linolenate_20_3n3 or n6,6183,True,False,,dihomo-linolenate (20:3n3 or n6),,,,,False,True,True
3,,,HMDB02925,dihomo_linolenate_20_3n3,3,True,False,,dihomo-linolenate (20:3n3),,,,,False,True,True
3,,,HMDB02925,dihomo_linolenate_20_3n6,3,True,False,,dihomo-linolenate (20:3n6),,,,,False,True,True
4,,,HMDB02925,dihomo_linolenate_20_3n3 or n6,6184,True,False,,Dihomo-linolenate (20:3n3 or n6),,,,,False,True,True
4,,,HMDB02925,dihomo_linolenate_20_3n3,4,True,False,,Dihomo-linolenate (20:3n3),,,,,False,True,True
4,,,HMDB02925,dihomo_linolenate_20_3n6,4,True,False,,Dihomo-linolenate (20:3n6),,,,,False,True,True
5,,11671,CHEM100008928,2_hydroxybutyrate_2_hydroxyisobutyrate,8007,False,True,1.0,2-hydroxybutyrate/2-hydroxyisobutyrate,,,,,True,True,
5,,11671,CHEM100008928,2_hydroxybutyrate,5,False,True,1.0,2-hydroxybutyrate,,,,,True,True,
5,,11671,CHEM100008928,2_hydroxyisobutyrate,5,False,True,1.0,2-hydroxyisobutyrate,,,,,True,True,
6,,122045,CHEM100006115,arabonate_xylonate,8005,False,True,1.0,arabonate/xylonate,,,,,True,True,
6,,122045,CHEM100006115,arabonate,6,False,True,1.0,arabonate,,,,,True,True,
6,,122045,CHEM100006115,xylonate,6,False,True,1.0,xylonate,,,,,True,True,
7,,440864,CHEM100008928,2_hydroxybutyrate_2_hydroxyisobutyrate,8007,False,True,,2-hydroxybutyrate/2-hydroxyisobutyrate,,,,,True,True,False
7,,440864,CHEM100008928,2_hydroxybutyrate,7,False,True,,2-hydroxybutyrate,,,,,True,True,False
7,,440864,CHEM100008928,2_hydroxyisobutyrate,7,False,True,,2-hydroxyisobutyrate,,,,,True,True,False
8,,445639,CHEM100008930,oleate_vaccenate_18_1,8008,False,True,1.0,oleate/vaccenate (18:1),,,,,True,True,
8,,445639,CHEM100008930,oleate,8,False,True,1.0,oleate,,,,,True,True,
8,,445639,CHEM100008930,vaccenate_18_1,8,False,True,1.0,vaccenate (18:1),,,,,True,True,
9,,5280581,HMDB02925,dihomo_linolenate_20_3n3 or n6,6189,True,False,1.0,dihomo-linolenate (20:3n3 or n6),,,,,False,True,
9,,5280581,HMDB02925,dihomo_linolenate_20_3n3,9,True,False,1.0,dihomo-linolenate (20:3n3),,,,,False,True,
9,,5280581,HMDB02925,dihomo_linolenate_20_3n6,9,True,False,1.0,dihomo-linolenate (20:3n6),,,,,False,True,
10,,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5850|5851,True,False,2.0,linolenate [alpha or gamma; (18:3n3 or 6)],,C06427,,,False,True,
10,,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,10,True,False,2.0,linolenate [alpha; (18:3n3)],,C06427,,,False,True,
10,,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,10,True,False,2.0,linolenate [gamma; (18:3n6)],,C06427,,,False,True,
11,,5281127,CHEM100008930,oleate_vaccenate_18_1,8008,False,True,1.0,oleate/vaccenate (18:1),,,,,True,True,
11,,5281127,CHEM100008930,oleate,11,False,True,1.0,oleate,,,,,True,True,
11,,5281127,CHEM100008930,vaccenate_18_1,11,False,True,1.0,vaccenate (18:1),,,,,True,True,
12,,5282761,CHEM100008930,oleate_vaccenate_18_1,8008,False,True,1.0,oleate/vaccenate (18:1),,,,,True,True,
12,,5282761,CHEM100008930,oleate,12,False,True,1.0,oleate,,,,,True,True,
12,,5282761,CHEM100008930,vaccenate_18_1,12,False,True,1.0,vaccenate (18:1),,,,,True,True,
13,,6602431,CHEM100006115,arabonate_xylonate,8005,False,True,1.0,arabonate/xylonate,,,,,True,True,
13,,6602431,CHEM100006115,arabonate,13,False,True,1.0,arabonate,,,,,True,True,
13,,6602431,CHEM100006115,xylonate,13,False,True,1.0,xylonate,,,,,True,True,
14,,6912,CHEM100006430,arabitol_xylitol,8006,False,True,1.0,arabitol/xylitol,,,,,True,True,
14,,6912,CHEM100006430,arabitol,14,False,True,1.0,arabitol,,,,,True,True,
14,,6912,CHEM100006430,xylitol,14,False,True,1.0,xylitol,,,,,True,True,
15,,94154,CHEM100006430,arabitol_xylitol,8006,False,True,1.0,arabitol/xylitol,,,,,True,True,
15,,94154,CHEM100006430,arabitol,15,False,True,1.0,arabitol,,,,,True,True,
15,,94154,CHEM100006430,xylitol,15,False,True,1.0,xylitol,,,,,True,True,
16,HMDB0000072,,HMDB00072_HMDB00958,aconitate_cis or trans,8022,False,True,,aconitate [cis or trans],,C00417,,,True,True,False
16,HMDB0000072,,HMDB00072_HMDB00958,aconitate_cis,16,False,True,,aconitate [cis],,C00417,,,True,True,False
16,HMDB0000072,,HMDB00072_HMDB00958,aconitate_trans,16,False,True,,aconitate [trans],,C00417,,,True,True,False
17,HMDB0000072,,HMDB00072_HMDB00958,aconitate_cis or trans,4423,True,False,,aconitate [cis or trans],,C00417,,,False,True,True
17,HMDB0000072,,HMDB00072_HMDB00958,aconitate_cis,17,True,False,,aconitate [cis],,C00417,,,False,True,True
