"","input_hmdb_id","input_pubchem","metabolite_id","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"1","","","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5846",TRUE,FALSE,NA,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"","",NA,FALSE,FALSE,TRUE
"2","","","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5847",TRUE,FALSE,NA,"Linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"","",NA,FALSE,FALSE,TRUE
"3","","","HMDB02925","dihomo_linolenate_20_3n3 or n6","6183",TRUE,FALSE,NA,"dihomo-linolenate (20:3n3 or n6)",NA,"","",NA,FALSE,FALSE,TRUE
"4","","","HMDB02925","dihomo_linolenate_20_3n3 or n6","6184",TRUE,FALSE,NA,"Dihomo-linolenate (20:3n3 or n6)",NA,"","",NA,FALSE,FALSE,TRUE
"5","","11671","CHEM100008928","2_hydroxybutyrate_2_hydroxyisobutyrate","8007",FALSE,TRUE,1,"2-hydroxybutyrate/2-hydroxyisobutyrate",NA,NA,NA,NA,TRUE,FALSE,NA
"6","","122045","CHEM100006115","arabonate_xylonate","8005",FALSE,TRUE,1,"arabonate/xylonate",NA,NA,NA,NA,TRUE,FALSE,NA
"7","","440864","CHEM100008928","2_hydroxybutyrate_2_hydroxyisobutyrate","8007",FALSE,TRUE,NA,"2-hydroxybutyrate/2-hydroxyisobutyrate",NA,"","",NA,TRUE,FALSE,FALSE
"8","","445639","CHEM100008930","oleate_vaccenate_18_1","8008",FALSE,TRUE,1,"oleate/vaccenate (18:1)",NA,NA,NA,NA,TRUE,FALSE,NA
"9","","5280581","HMDB02925","dihomo_linolenate_20_3n3 or n6","6189",TRUE,FALSE,1,"dihomo-linolenate (20:3n3 or n6)",NA,NA,NA,NA,FALSE,FALSE,NA
"10","","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5850|5851",TRUE,FALSE,2,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"C06427",NA,NA,FALSE,FALSE,NA
"11","","5281127","CHEM100008930","oleate_vaccenate_18_1","8008",FALSE,TRUE,1,"oleate/vaccenate (18:1)",NA,NA,NA,NA,TRUE,FALSE,NA
"12","","5282761","CHEM100008930","oleate_vaccenate_18_1","8008",FALSE,TRUE,1,"oleate/vaccenate (18:1)",NA,NA,NA,NA,TRUE,FALSE,NA
"13","","6602431","CHEM100006115","arabonate_xylonate","8005",FALSE,TRUE,1,"arabonate/xylonate",NA,NA,NA,NA,TRUE,FALSE,NA
"14","","6912","CHEM100006430","arabitol_xylitol","8006",FALSE,TRUE,1,"arabitol/xylitol",NA,NA,NA,NA,TRUE,FALSE,NA
"15","","94154","CHEM100006430","arabitol_xylitol","8006",FALSE,TRUE,1,"arabitol/xylitol",NA,NA,NA,NA,TRUE,FALSE,NA
"16","HMDB0000072","","HMDB00072_HMDB00958","aconitate_cis or trans","8022",FALSE,TRUE,NA,"aconitate [cis or trans]",NA,"C00417","",NA,TRUE,TRUE,FALSE
"17","HMDB0000072",NA,"HMDB00072_HMDB00958","aconitate_cis or trans","4423",TRUE,FALSE,NA,"aconitate [cis or trans]",NA,"C00417",NA,NA,FALSE,FALSE,TRUE
"18","HMDB0000215","24139","HMDB0000212_HMDB00215","n_acetylglucosamine_n_acetylgalactosamine","4254",TRUE,FALSE,1,"N-acetylglucosamine/N-acetylgalactosamine",NA,NA,NA,NA,FALSE,FALSE,NA
"19","HMDB0000247","5780","CHEM100001740","mannitol_sorbitol","1764",TRUE,FALSE,1,"mannitol/sorbitol",440,"C01507",NA,NA,FALSE,FALSE,NA
"20","HMDB0000286",NA,"HMDB00286","udp_galactose_udp_glucose","5023",TRUE,FALSE,1,"UDP-galactose/UDP-glucose",NA,NA,NA,NA,FALSE,FALSE,NA
"21","HMDB0000488","5799469","HMDB00488","bilirubin_e_z or z_e","5154",TRUE,FALSE,1,"bilirubin (E,Z or Z,E)*",4705847,NA,NA,NA,FALSE,FALSE,NA
"22","HMDB0000626","440355","CHEM100002178","deoxycholate_chenodeoxycholate","1879",TRUE,FALSE,1,"deoxycholate/chenodeoxycholate",NA,NA,NA,NA,FALSE,FALSE,NA
"23","HMDB0000631",NA,"HMDB00631","glycodeoxycholate_glycochenodeoxycholate","5249",TRUE,FALSE,1,"glycodeoxycholate/glycochenodeoxycholate",NA,NA,NA,NA,FALSE,FALSE,NA
"24","HMDB0000874",NA,"HMDB00874","taurohyodeoxycholate_tauroursodeoxycholate","5640",TRUE,FALSE,1,"taurohyodeoxycholate/tauroursodeoxycholate",NA,NA,NA,NA,FALSE,FALSE,NA
"25","HMDB0000958","","HMDB00072_HMDB00958","aconitate_cis or trans","8022",FALSE,TRUE,NA,"aconitate [cis or trans]",NA,"C02341","",NA,TRUE,TRUE,FALSE
"26","HMDB0001388","","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","5849|8076",TRUE,TRUE,2,"linolenate [alpha or gamma; (18:3n3 or 6)]",NA,"C06427",NA,NA,FALSE,FALSE,NA
"27","HMDB0001388","5280934","HMDB01388_HMDB03073","linolenate_alpha or gamma__18_3n3 or 6","8074|8075",FALSE,TRUE,2,"Linolenate _alpha or gamma; (18:3n3 or 6)_",NA,NA,NA,NA,TRUE,FALSE,NA
"28","HMDB0001388",NA,"HMDB01388","18_3n3 or 6","5842",TRUE,FALSE,1,"(18:3n3 or 6)]",NA,"Lipid",NA,NA,FALSE,FALSE,NA
"29","HMDB0002231","5282768","HMDB02231","eicosenoate_20_1n9 or 11","6086",TRUE,FALSE,1,"eicosenoate (20:1n9 or 11)",NA,NA,NA,NA,FALSE,FALSE,NA
"30","HMDB0002925","","HMDB02925","dihomo_linolenate_20_3n3 or n6","6185|6190",TRUE,FALSE,2,"dihomo-linolenate (20:3n3 or n6)",NA,"C03242",NA,NA,FALSE,FALSE,NA
