"uid_01","hmdb_id","biochemical","uid_01_final","hmdb_id_final","biochemical_final","biochemical_final_final","biochemical_final_final_final","uid_01_final_1","uid_01_final_2"
"HMDB29389","HMDB0029389","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid","HMDB29389","HMDB0029389","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid","+_threo_2_amino_3_4_dihydroxybutanoic acid","HMDB29389","HMDB0029389"
"HMDB31806","HMDB0031806","( )-Naled","HMDB31806","HMDB0031806","( )-Naled","( )-Naled","_naled","HMDB31806","HMDB0031806"
"CHEM100003600","","(15:0)-anacardic acid or Anacardic acid","CHEM100003600","","(15:0)-anacardic acid or Anacardic acid","(15:0)-anacardic acid","15_0_anacardic acid","CHEM100003600","CHEM100003600"
"CHEM100003600","","(15:0)-anacardic acid or Anacardic acid","CHEM100003600","","(15:0)-anacardic acid or Anacardic acid","Anacardic acid","anacardic acid","CHEM100003600","CHEM100003600"
"HMDB33896","HMDB0033896","Anacardic acid","HMDB33896","HMDB0033896","Anacardic acid","Anacardic acid","anacardic acid","HMDB33896","HMDB0033896"
"HMDB35417","HMDB0035417","(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol","HMDB35417","HMDB0035417","(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol","(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol","1r_2r_1_2_7_7_tetramethylbicyclo_2_2_1_heptan_2_ol","HMDB35417","HMDB0035417"
"HMDB41545","HMDB0041545","(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol","HMDB41545","HMDB0041545","(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol","(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol","1r_2r_4r_1_8_epoxy_p_menthane_2_4_diol","HMDB41545","HMDB0041545"
"HMDB33574","HMDB0033574","(1R,2R,4R,8R)-p-Menthane-2,8,9-triol","HMDB33574","HMDB0033574","(1R,2R,4R,8R)-p-Menthane-2,8,9-triol","(1R,2R,4R,8R)-p-Menthane-2,8,9-triol","1r_2r_4r_8r_p_menthane_2_8_9_triol","HMDB33574","HMDB0033574"
"HMDB37942","HMDB0037942","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","HMDB37942","HMDB0037942","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","1xi_3xi_1_2_3_4_tetrahydro_1_methyl_beta_carboline_3_carboxylic acid","HMDB37942","HMDB0037942"
"HMDB30996","HMDB0030996","(2'E,4'Z,7'Z,8E)-Colnelenic acid","HMDB30996","HMDB0030996","(2'E,4'Z,7'Z,8E)-Colnelenic acid","(2'E,4'Z,7'Z,8E)-Colnelenic acid","2'e_4'z_7'z_8e_colnelenic acid","HMDB30996","HMDB0030996"
"HMDB39590","HMDB0039590","(2E,4E)-2,4-Dodecadienal","HMDB39590","HMDB0039590","(2E,4E)-2,4-Dodecadienal","(2E,4E)-2,4-Dodecadienal","2e_4e_2_4_dodecadienal","HMDB39590","HMDB0039590"
"HMDB39463","HMDB0039463","(3alpha,5alpha,22R,23R)-Cholestane-3,22,23-triol","HMDB39463","HMDB0039463","(3alpha,5alpha,22R,23R)-Cholestane-3,22,23-triol","(3alpha,5alpha,22R,23R)-Cholestane-3,22,23-triol","3alpha_5alpha_22r_23r_cholestane_3_22_23_triol","HMDB39463","HMDB0039463"
"HMDB12114","HMDB0012114","(3S)-3,6-Diaminohexanoate","HMDB12114","HMDB0012114","(3S)-3,6-Diaminohexanoate","(3S)-3,6-Diaminohexanoate","3s_3_6_diaminohexanoate","HMDB12114","HMDB0012114"
"HMDB41629","HMDB0041629","(3S,6E)-Nerolidol","HMDB41629","HMDB0041629","(3S,6E)-Nerolidol","(3S,6E)-Nerolidol","3s_6e_nerolidol","HMDB41629","HMDB0041629"
"HMDB39052","HMDB0039052","(4S,8R)-8,9-Dihydroxy-p-menth-1(6)-en-2-one","HMDB39052","HMDB0039052","(4S,8R)-8,9-Dihydroxy-p-menth-1(6)-en-2-one","(4S,8R)-8,9-Dihydroxy-p-menth-1(6)-en-2-one","4s_8r_8_9_dihydroxy_p_menth_1_6_en_2_one","HMDB39052","HMDB0039052"
