"uid_01","hmdb_id","biochemical"
"CHEM100003600","","(15:0)-anacardic acid or Anacardic acid"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100006121","","1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)"
"CHEM100001778","","1-linoleoylglycerophosphoinositol* or 1-linoleoyl-GPI (18:2)*"
"CHEM100001040","","1-linoleoylglycerol (1-monolinolein) or 1-linoleoylglycerol (18:2)"
"CHEM100001671","","1-oleoyl-GPA (18:1) or 1-oleoylglycerophosphate"
"CHEM100005716","","1-oleoyl-GPG (18:1)* or 1-oleoylglycerophosphoglycerol*"
"CHEM100001777","","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*"
"CHEM100005717","","1-palmitoyl-GPG (16:0)* or 1-palmitoylglycerophosphoglycerol*"
"CHEM100001431","","1-pentadecanoylglycerol (1-monopentadecanoin) or 1-pentadecanoylglycerol (15:0)"
"CHEM100001462","","1-stearoyl-GPG (18:0) or 1-stearoylglycerophosphoglycerol"
"CHEM100004327","","1-stearoyl-GPS (18:0)* or 1-stearoylglycerophosphoserine*"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"COMP52070_55008","","1-(1-enyl-palmitoyl)-2-eicosapentaenoyl-GPE (P-16:0/20:5)* or X - 24041"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100006121","","1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)"
"CHEM100002060","","1-docosahexaenoylglycerophosphoethanolamine* or X - 12644"
"CHEM100001778","","1-linoleoylglycerophosphoinositol* or 1-linoleoyl-GPI (18:2)*"
"CHEM100001040","","1-linoleoylglycerol (1-monolinolein) or 1-linoleoylglycerol (18:2)"
"CHEM100001040","","1-linoleoylglycerol (1-monolinolein) or 1-linoleoylglycerol (18:2)"
"CHEM100001778","","1-linoleoylglycerophosphoinositol* or 1-linoleoyl-GPI (18:2)*"
"COMP52126_55003","","1-myristoyl-2-palmitoleoyl-GPC (14:0/16:1)* or X - 24097"
"CHEM100001671","","1-oleoyl-GPA (18:1) or 1-oleoylglycerophosphate"
"CHEM100005716","","1-oleoyl-GPG (18:1)* or 1-oleoylglycerophosphoglycerol*"
"CHEM100001777","","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*"
"CHEM100001671","","1-oleoyl-GPA (18:1) or 1-oleoylglycerophosphate"
"CHEM100005716","","1-oleoyl-GPG (18:1)* or 1-oleoylglycerophosphoglycerol*"
"CHEM100001777","","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"CHEM100005717","","1-palmitoyl-GPG (16:0)* or 1-palmitoylglycerophosphoglycerol*"
"CHEM100005717","","1-palmitoyl-GPG (16:0)* or 1-palmitoylglycerophosphoglycerol*"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"COMP53268_55007","","1-palmityl-GPE (O-16:0)* or X - 24749"
"CHEM100001431","","1-pentadecanoylglycerol (1-monopentadecanoin) or 1-pentadecanoylglycerol (15:0)"
"CHEM100001431","","1-pentadecanoylglycerol (1-monopentadecanoin) or 1-pentadecanoylglycerol (15:0)"
"CHEM100001462","","1-stearoyl-GPG (18:0) or 1-stearoylglycerophosphoglycerol"
"CHEM100004327","","1-stearoyl-GPS (18:0)* or 1-stearoylglycerophosphoserine*"
"CHEM100001462","","1-stearoyl-GPG (18:0) or 1-stearoylglycerophosphoglycerol"
"CHEM100004327","","1-stearoyl-GPS (18:0)* or 1-stearoylglycerophosphoserine*"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100002344","","13-methylmyristate or 13-methylmyristic acid"
"CHEM100002344","","13-methylmyristate or 13-methylmyristic acid"
"CHEM100002945","","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)"
"CHEM100002945","","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)"
"CHEM100003600","","(15:0)-anacardic acid or Anacardic acid"
"CHEM100002945","","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)"
"CHEM100010896","","2'-O-methyluridine or X - 22145"
"CHEM100006190","","2-acetamidophenol sulfate or X - 12258"
"CHEM100004542","","2-aminoheptanoate or 2-aminoheptanoic acid"
"CHEM100004089","","2-hydroxydecanoate or 2-hydroxydecanoic acid"
"CHEM100006184","","2-methoxyresorcinol sulfate or 2-methyoxyresorcinol sulfate or X - 17347"
"CHEM100004321","","2,8-quinolinediol sulfate or X - 12254"
"CHEM100010896","","2'-O-methyluridine or X - 22145"
"CHEM100010896","","2'-O-methyluridine or X - 22145"
"CHEM100004321","","2,8-quinolinediol sulfate or X - 12254"
"CHEM100004321","","2,8-quinolinediol sulfate or X - 12254"
"CHEM100006190","","2-acetamidophenol sulfate or X - 12258"
"CHEM100006190","","2-acetamidophenol sulfate or X - 12258"
"CHEM100004542","","2-aminoheptanoate or 2-aminoheptanoic acid"
"CHEM100004542","","2-aminoheptanoate or 2-aminoheptanoic acid"
"CHEM100002061","","2-docosahexaenoylglycerophosphoethanolamine* or X - 12645"
"CHEM100002977","","2-ethylhexanoate (isobar with 2-propylpentanoate) or Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid"
"CHEM100004089","","2-hydroxydecanoate or 2-hydroxydecanoic acid"
"CHEM100004089","","2-hydroxydecanoate or 2-hydroxydecanoic acid"
"CHEM100006184","","2-methoxyresorcinol sulfate or 2-methyoxyresorcinol sulfate or X - 17347"
"CHEM100006184","","2-methoxyresorcinol sulfate or 2-methyoxyresorcinol sulfate or X - 17347"
"CHEM100005391","","3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate or X - 12236"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892"
"CHEM100006098","","3-hydroxypyridine sulfate or X - 12039"
"CHEM100008933","","3-hydroxystearate or X - 23168"
"CHEM100005391","","3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate or X - 12236"
"CHEM100005391","","3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate or X - 12236"
"CHEM100006370","","3-hydroxy-5-cholestenoic acid or 3beta-hydroxy-5-cholestenoate"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892"
"CHEM100006098","","3-hydroxypyridine sulfate or X - 12039"
"CHEM100006098","","3-hydroxypyridine sulfate or X - 12039"
"CHEM100008933","","3-hydroxystearate or X - 23168"
"CHEM100006370","","3-hydroxy-5-cholestenoic acid or 3beta-hydroxy-5-cholestenoate"
"CHEM100006095","","4-hydroxycinnamate sulfate or X - 12229"
"CHEM100006126","","4-vinylguaiacol sulfate or X - 12833"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002029","","4-androsten-3beta,17beta-diol monosulfate (2) or Androstenediol (3beta,17beta) monosulfate (2)"
"CHEM100006095","","4-hydroxycinnamate sulfate or X - 12229"
"CHEM100006095","","4-hydroxycinnamate sulfate or X - 12229"
"CHEM100006126","","4-vinylguaiacol sulfate or X - 12833"
"CHEM100006126","","4-vinylguaiacol sulfate or X - 12833"
"CHEM100009338","","5-bromotryptophan or X - 21739"
"CHEM100009338","","5-bromotryptophan or X - 21739"
"CHEM100005396","","5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate or 5alpha-androstan-3alpha,17beta-diol 17-glucuronide"
"CHEM100005396","","5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate or 5alpha-androstan-3alpha,17beta-diol 17-glucuronide"
"CHEM100005396","","5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate or 5alpha-androstan-3alpha,17beta-diol 17-glucuronide"
"CHEM100002015","","5alpha-pregnan-3(alpha or beta),20beta-diol disulfate"
"CHEM100002015","","5alpha-pregnan-3(alpha or beta),20beta-diol disulfate"
"CHEM100006260","","6-hydroxyindole sulfate or X - 21810"
"CHEM100006260","","6-hydroxyindole sulfate or X - 21810"
"CHEM100006260","","6-hydroxyindole sulfate or X - 21810"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100004442","","1-arachidonoyl-GPA (20:4) or 1-arachidonoylglyercophosphate or 1-arachidonoyl LPA"
"CHEM100006121","","1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)"
"CHEM100006121","","1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)"
"CHEM100002060","","1-docosahexaenoylglycerophosphoethanolamine* or X - 12644"
"CHEM100002060","","1-docosahexaenoylglycerophosphoethanolamine* or X - 12644"
"CHEM100001778","","1-linoleoylglycerophosphoinositol* or 1-linoleoyl-GPI (18:2)*"
"CHEM100001040","","1-linoleoylglycerol (1-monolinolein) or 1-linoleoylglycerol (18:2)"
"CHEM100001040","","1-linoleoylglycerol (1-monolinolein) or 1-linoleoylglycerol (18:2)"
"CHEM100001778","","1-linoleoylglycerophosphoinositol* or 1-linoleoyl-GPI (18:2)*"
"CHEM100001671","","1-oleoyl-GPA (18:1) or 1-oleoylglycerophosphate"
"CHEM100001777","","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*"
"CHEM100005716","","1-oleoyl-GPG (18:1)* or 1-oleoylglycerophosphoglycerol*"
"CHEM100001777","","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*"
"CHEM100005372","","1-(1-enyl-oleoyl)-GPE (P-18:1)* or 1-oleoylplasmenylethanolamine*"
"CHEM100005717","","1-palmitoyl-GPG (16:0)* or 1-palmitoylglycerophosphoglycerol*"
"CHEM100005717","","1-palmitoyl-GPG (16:0)* or 1-palmitoylglycerophosphoglycerol*"
"CHEM100003000","","1-(1-enyl-palmitoyl)-GPE (P-16:0)* or 1-palmitoylplasmenylethanolamine*"
"CHEM100001431","","1-pentadecanoylglycerol (1-monopentadecanoin) or 1-pentadecanoylglycerol (15:0)"
"CHEM100001462","","1-stearoyl-GPG (18:0) or 1-stearoylglycerophosphoglycerol"
"CHEM100003001","","1-(1-enyl-stearoyl)-GPE (P-18:0)* or 1-stearoylplasmenylethanolamine*"
"CHEM100002945#COMP38295","#","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)#15-methylpalmitate"
"CHEM100002945","","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)"
"CHEM100010896","","2'-O-methyluridine or X - 22145"
"CHEM100006190","","2-acetamidophenol sulfate or X - 12258"
"CHEM100004542","","2-aminoheptanoate or 2-aminoheptanoic acid"
"CHEM100004542","","2-aminoheptanoate or 2-aminoheptanoic acid"
"CHEM100002061","","2-docosahexaenoylglycerophosphoethanolamine* or X - 12645"
"CHEM100002061","","2-docosahexaenoylglycerophosphoethanolamine* or X - 12645"
"CHEM100004089","","2-hydroxydecanoate or 2-hydroxydecanoic acid"
"CHEM100006184","","2-methoxyresorcinol sulfate or 2-methyoxyresorcinol sulfate or X - 17347"
"CHEM100006184","","2-methoxyresorcinol sulfate or 2-methyoxyresorcinol sulfate or X - 17347"
"CHEM100005391","","3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate or X - 12236"
"CHEM100005391","","3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate or X - 12236"
"CHEM100006370","","3-hydroxy-5-cholestenoic acid or 3beta-hydroxy-5-cholestenoate"
"CHEM100006367","","3-hydroxyhexanoate or X - 21892"
"CHEM100006098","","3-hydroxypyridine sulfate or X - 12039"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002029","","4-androsten-3beta,17beta-diol monosulfate (2) or Androstenediol (3beta,17beta) monosulfate (2)"
"CHEM100006126","","4-vinylguaiacol sulfate or X - 12833"
"CHEM100009338","","5-bromotryptophan or X - 21739"
"CHEM100002015","","5alpha-pregnan-3(alpha or beta),20beta-diol disulfate"
"CHEM100006260","","6-hydroxyindole sulfate or X - 21810"
"CHEM100003600","","(15:0)-anacardic acid or Anacardic acid"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002029","","4-androsten-3beta,17beta-diol monosulfate (2) or Androstenediol (3beta,17beta) monosulfate (2)"
"CHEM100002029","","4-androsten-3beta,17beta-diol monosulfate (2) or Androstenediol (3beta,17beta) monosulfate (2)"
"CHEM100002026","","4-androsten-3alpha,17alpha-diol monosulfate (2) or Androstenediol (3alpha, 17alpha) monsulfate (2)"
"CHEM100002027","","4-androsten-3alpha,17alpha-diol monosulfate (3) or Androstenediol (3alpha, 17alpha) monsulfate (3)"
"CHEM100002029","","4-androsten-3beta,17beta-diol monosulfate (2) or Androstenediol (3beta,17beta) monosulfate (2)"
"CHEM100004555","","Benzoylcarnitine* or Phenylcarnitine*"
"CHEM100003271","","Beta-citrylglutamate or X - 12748"
"CHEM100001594","","Beta-hydroxyisovaleroylcarnitine or Hydroxyisovaleroyl carnitine"
"CHEM100003271","","Beta-citrylglutamate or X - 12748"
"CHEM100001594","","Beta-hydroxyisovaleroylcarnitine or Hydroxyisovaleroyl carnitine"
"CHEM100009406","","Palmitoleoylcarnitine (C16:1)* or Palmitoleoylcarnitine*"
"CHEBI85438#CHEM100002259","#","Decenoylcarnitine (O-decenoyl-L-carnitine)#Cis-4-decenoyl carnitine or Cis-4-decenoylcarnitine (C10:1)"
"CHEM100006051#HMDB02014","#HMDB0002014","Myristoleoylcarnitine (C14:1)* or Myristoleoylcarnitine*#cis-5-Tetradecenoylcarnitine"
"CHEM100009406#HMDB13207","#HMDB0013207","Palmitoleoylcarnitine (C16:1)* or Palmitoleoylcarnitine*#9-Hexadecenoylcarnitine"
"CHEM100015840","","Dihomo-linolenoylcarnitine (20:3n3 or 6)*"
"CHEM100009326","","Catechol glucuronide or X - 12408"
"CHEM100009326","","Catechol glucuronide or X - 12408"
"CHEM100002259","","Cis-4-decenoyl carnitine or Cis-4-decenoylcarnitine (C10:1)"
"CHEM100002259","","Cis-4-decenoyl carnitine or Cis-4-decenoylcarnitine (C10:1)"
"CHEM100002259","","Cis-4-decenoyl carnitine or Cis-4-decenoylcarnitine (C10:1)"
"CHEM100001927","","Cyclo(phe-pro) or cyclo(L-phe-L-pro)"
"COMP36217_48787","","Cyclo(pro-pro) or X - 14291"
"COMP38212_47573_52353","","Cyclo(his-pro) or X - 15863"
"CHEM100001927","","Cyclo(phe-pro) or cyclo(L-phe-L-pro)"
"CHEM100001927","","Cyclo(phe-pro) or cyclo(L-phe-L-pro)"
"COMP36217_48787","","Cyclo(pro-pro) or X - 14291"
"COMP36300_47491_49795","","Cyclo(pro-val) or X - 14374"
"CHEM100015840","","Dihomo-linolenoylcarnitine (20:3n3 or 6)*"
"CHEM100015840","","Dihomo-linolenoylcarnitine (20:3n3 or 6)*"
"CHEM100015840","","Dihomo-linolenoylcarnitine (20:3n3 or 6)*"
"CHEM100006292","","Eicosenoyl sphingomyelin* or Sphingomyelin (d18:1/20:1, d18:2/20:0)*"
"CHEM100006292","","Eicosenoyl sphingomyelin* or Sphingomyelin (d18:1/20:1, d18:2/20:0)*"
"CHEM100010912","","Ferulylglycine (1) or X - 13862"
"CHEM100010912","","Ferulylglycine (1) or X - 13862"
"CHEM100010912","","Ferulylglycine (1) or X - 13862"
"CHEM100009328","","Furaneol sulfate or X - 12024"
"CHEM100009328","","Furaneol sulfate or X - 12024"
"CHEM100009328","","Furaneol sulfate or X - 12024"
"CHEM100010901","","Gamma-glutamyl-alpha-lysine or X - 24240"
"CHEM100010901","","Gamma-glutamyl-alpha-lysine or X - 24240"
"CHEM100006641","","Glycochenodeoxycholate sulfate or X - 12850"
"CHEM100006641","","Glycochenodeoxycholate sulfate or X - 12850"
"CHEM100006641","","Glycochenodeoxycholate sulfate or X - 12850"
"CHEM100006641","","Glycochenodeoxycholate sulfate or X - 12850"
"CHEM100006642","","Glycodeoxycholate sulfate or X - 13429"
"COMP32846_46641_52982","","Glycodeoxycholate glucuronide (1) or X - 11529"
"CHEM100006642","","Glycodeoxycholate sulfate or X - 13429"
"CHEM100006642","","Glycodeoxycholate sulfate or X - 13429"
"CHEM100009272","","Glycosyl-N-palmitoyl-sphingosine or Glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100009272","","Glycosyl-N-palmitoyl-sphingosine or Glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100001882","","Glycosyl-N-stearoyl-sphingosine or Glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"
"CHEM100001882","","Glycosyl-N-stearoyl-sphingosine or Glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"
"CHEM100009272","","Glycosyl-N-palmitoyl-sphingosine or Glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100001882","","Glycosyl-N-stearoyl-sphingosine or Glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"
"CHEM100001733","","Hexanoylglutamine or X - 12824"
"CHEM100001733","","Hexanoylglutamine or X - 12824"
"CHEM100009272","","Glycosyl-N-palmitoyl-sphingosine or Glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100001882","","Glycosyl-N-stearoyl-sphingosine or Glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"
"COMP39632_47658","","Hexenedioylcarnitine* or Hexenedioylcarnitine (X - 17001)"
"COMP39632_47658","","Hexenedioylcarnitine* or Hexenedioylcarnitine (X - 17001)"
"CHEM100001956","","N-methylproline or N-methyl proline"
"CHEM100001594","","Beta-hydroxyisovaleroylcarnitine or Hydroxyisovaleroyl carnitine"
"CHEM100001594","","Beta-hydroxyisovaleroylcarnitine or Hydroxyisovaleroyl carnitine"
"CHEM100010863","","Indolepropionylglycine or X - 20529"
"CHEM100010863","","Indolepropionylglycine or X - 20529"
"CHEM100002977","","2-ethylhexanoate (isobar with 2-propylpentanoate) or Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid"
"CHEM100002344","","13-methylmyristate or 13-methylmyristic acid"
"CHEM100009030","","Lactosyl-N-palmitoyl-sphingosine or Lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100009030","","Lactosyl-N-palmitoyl-sphingosine or Lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100009030","","Lactosyl-N-palmitoyl-sphingosine or Lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100009030","","Lactosyl-N-palmitoyl-sphingosine or Lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)"
"CHEM100001704","","Methyl linoleate or Linoleate, methyl ester"
"CHEM100015760","","Linoleoylcholine* or X - 11537"
