"uid_01","hmdb_id","biochemical"
"CHEM100003425#HMDB34174","#HMDB0034174","Cis-urocanate#(E)-Urocanic acid"
"CHEM100002945#COMP38295","#","Methyl palmitate (15 or 2) or 15-methylpalmitate (isobar with 2-methylpalmitate)#15-methylpalmitate"
"HMDB00452#HMDB00650","HMDB0000452#HMDB0000650","L-Alpha-aminobutyric acid#D-Alpha-aminobutyric acid"
"HMDB00606#HMDB00694#HMDB59655","HMDB0000606#HMDB0000694#HMDB0059655","D-2-Hydroxyglutaric acid#L-2-Hydroxyglutaric acid#2-Hydroxyglutarate"
"HMDB00606#HMDB00694#HMDB59655","HMDB0000606#HMDB0000694#HMDB0059655","D-2-Hydroxyglutaric acid#L-2-Hydroxyglutaric acid#2-Hydroxyglutarate"
"HMDB00665#HMDB00746","HMDB0000665#HMDB0000746","Leucinic acid#Hydroxyisocaproic acid"
"COMP32707#HMDB11749","#HMDB0011749","2-piperidone#2-Piperidinone"
"HMDB01161#HMDB06831","HMDB0001161#HMDB0006831","4-Trimethylammoniobutanoic acid#3-Dehydroxycarnitine"
"CHEM100001992#CHEM100001994","HMDB0003818#HMDB0003818","5-Androstenediol#5-Androstenediol"
"CHEM100001073#CHEM100002152","HMDB0002759#HMDB0002759","Androsterone sulfate#Androsterone sulfate"
"CHEBI57589#HMDB00201","#HMDB0000201","Acetylcarnitine#L-Acetylcarnitine"
"HMDB00056#HMDB00161","HMDB0000056#HMDB0000161","beta-Alanine#L-Alanine"
"CHEM100005840#HMDB00557","#HMDB0000557","Allo-isoleucine#L-Alloisoleucine"
"CHEM100005840#HMDB00557","#HMDB0000557","Allo-isoleucine#L-Alloisoleucine"
"CHEM100006430#HMDB01851","#HMDB0001851","Arabitol/xylitol#L-Arabitol"
"HMDB01043#HMDB01043_HMDB60102#ME056367","HMDB0001043#HMDB0001043#","Arachidonic acid#Arachidonic acid#FA (20:4)"
"HMDB00517#HMDB03416","HMDB0000517#HMDB0003416","L-Arginine#D-Arginine"
"HMDB00168#HMDB33780#PUBCHEM236","HMDB0000168#HMDB0033780#","L-Asparagine#D-Asparagine#Asparagine"
"HMDB00191#HMDB06483#PUBCHEM75017742","HMDB0000191#HMDB0006483#","L-Aspartic acid#D-Aspartic acid#Aspartic acid"
"HMDB00011#HMDB00357","HMDB0000011#HMDB0000357","(R)-3-Hydroxybutyric acid#3-Hydroxybutyric acid"
"CHEM100008998#HMDB06335","#HMDB0006335","Gamma-tocopherol/beta-tocopherol#Beta-tocopherol"
"CHEM100000967#CHEM100001292","HMDB0004246#HMDB0004246","Bradykinin#Bradykinin"
"C16_1_SM#HMDB29216","#HMDB0029216","C16:1 SM#SM C16:1"
"C20_4_carnitine#HMDB06455","#HMDB0006455","C20:4 carnitine#Arachidonyl carnitine"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)"
"HMDB00651#PUBCHEM11953821","HMDB0000651#","Decanoylcarnitine#Acylcarnitine C10:0"
"CHEBI85438#CHEM100002259","#","Decenoylcarnitine (O-decenoyl-L-carnitine)#Cis-4-decenoyl carnitine or Cis-4-decenoylcarnitine (C10:1)"
"CHEBI86064#HMDB13325","#HMDB0013325","O-decadienoylcarnitine#2-trans,4-cis-Decadienoylcarnitine"
"CHEBI73054#HMDB02250","#HMDB0002250","Dodecanoylcarnitine#Dodecanoylcarnitine"
"CHEM100006051#HMDB02014","#HMDB0002014","Myristoleoylcarnitine (C14:1)* or Myristoleoylcarnitine*#cis-5-Tetradecenoylcarnitine"
"HMDB00222#PUBCHEM16902","HMDB0000222#","L-Palmitoylcarnitine#(+)-Palmitylcarnitine"
"CHEM100009406#HMDB13207","#HMDB0013207","Palmitoleoylcarnitine (C16:1)* or Palmitoleoylcarnitine*#9-Hexadecenoylcarnitine"
"HMDB00848#PUBCHEM52922056","HMDB0000848#","Stearoylcarnitine#Acylcarnitine C18:0"
"HMDB13339#PUBCHEM71464558","HMDB0013339#","3-Hydroxy-11Z-octadecenoylcarnitine#3-hydroxyoleoylcarnitine"
"HMDB06469#PUBCHEM51000598","HMDB0006469#","Linoleyl carnitine#Acylcarnitine C18:2"
"CHEBI57589#HMDB00201","#HMDB0000201","Acetylcarnitine#L-Acetylcarnitine"
"C20_4_carnitine#CHEM100015837#HMDB06455","##HMDB0006455","C20:4 carnitine#Arachidonoylcarnitine (C20:4)#Arachidonyl carnitine"
"CHEBI53210#HMDB00824","#HMDB0000824","O-propanoyl-L-carnitine#Propionylcarnitine"
"CHEM100003926#CHEM100009271","HMDB0013127#HMDB0013127","Hydroxybutyrylcarnitine#Hydroxybutyrylcarnitine"
"CHEBI21949#HMDB00736#HMDB02013","#HMDB0000736#HMDB0002013","Butyryl-L-carnitine#Isobutyryl-L-carnitine#Butyrylcarnitine"
"CHEBI86467#CHEM100005836","#","Hydroxyvalerylcarnitine#Alpha-hydroxyisovaleroyl carnitine*"
"HMDB13128#HMDB13130#PUBCHEM16226475","HMDB0013128#HMDB0013130#","Valerylcarnitine#Glutarylcarnitine#O-valeroyl-L-carnitine"
"HMDB00705#HMDB00756","HMDB0000705#HMDB0000756","Hexanoylcarnitine#L-Hexanoylcarnitine"
"CHEBI73039#HMDB00791#ME056184","#HMDB0000791#","O-octanoylcarnitine#L-Octanoylcarnitine#C8:0 acylcarnitine"
"CHEM100001742#CHEM100005849#CHEM100005850","HMDB0000552#HMDB0000552#HMDB0000552","3-Methylglutarylcarnitine#3-Methylglutarylcarnitine#3-Methylglutarylcarnitine"
"HMDB00062#PUBCHEM288","HMDB0000062#","L-Carnitine#Carnitine"
"CSID9001#HMDB00033","#HMDB0000033","Beta-Alanylhistidine#Carnosine"
"C14_0_CE_+NH4#HMDB06725","#HMDB0006725","C14:0 CE +NH4#CE(14:0)"
"C16_0_CE_+NH4#HMDB00885","#HMDB0000885","C16:0 CE +NH4#CE(16:0)"
"C16_1_CE_+NH4#HMDB00658","#HMDB0000658","C16:1 CE +NH4#CE(16:1(9Z))"
"C18_0_CE_+NH4#HMDB10368","#HMDB0010368","C18:0 CE +NH4#CE(18:0)"
"C18_1_CE_+NH4#HMDB00918","#HMDB0000918","C18:1 CE +NH4#CE(18:1(9Z))"
"C18_2_CE_+NH4#HMDB00610","#HMDB0000610","C18:2 CE +NH4#CE(18:2(9Z,12Z))"
"C18_3_CE_+NH4#HMDB10370","#HMDB0010370","C18:3 CE +NH4#CE(18:3(9Z,12Z,15Z))"
"C20_3_CE_+NH4#HMDB06736","#HMDB0006736","C20:3 CE +NH4#CE(20:3(8Z,11Z,14Z))"
"C20_4_CE_+NH4#HMDB06726","#HMDB0006726","C20:4 CE +NH4#CE(20:4(5Z,8Z,11Z,14Z))"
"C20_5_CE_+NH4#HMDB06731","#HMDB0006731","C20:5 CE +NH4#CE(20:5(5Z,8Z,11Z,14Z,17Z)"
"C22_4_CE_+NH4#HMDB06729","#HMDB0006729","C22:4 CE +NH4#CE(22:4(7Z,10Z,13Z,16Z))"
"C22_5_CE_+NH4#HMDB10375","#HMDB0010375","C22:5 CE +NH4#CE(22:5(7Z,10Z,13Z,16Z,19Z))"
