"","metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"1","BM00004","[W1 Finland NMR Metabolomics] Concentration of chylomicrons and extremely large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_concentration of chylomicrons and extremely large vldl particles_mol_l","BM00004","BM00004",TRUE,FALSE
"2","BM00004","Concentration of chylomicrons and extremely large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"concentration of chylomicrons and extremely large vldl particles_mol_l","BM00004","BM00004",TRUE,FALSE
"3","BM00004","Concentration of chylomicrons and extremely large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"concentration of chylomicrons and extremely large vldl particles_mol_l","BM00004","BM00004",TRUE,FALSE
"4","BM00004","Concentration of chylomicrons and extremely large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"concentration of chylomicrons and extremely large vldl particles_mol_l","BM00004","BM00004",TRUE,FALSE
"5","BM00004","Concentration of chylomicrons and extremely large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"concentration of chylomicrons and extremely large vldl particles_mol_l","BM00004","BM00004",TRUE,FALSE
"6","BM00004","Concentration of chylomicrons and extremely large VLDL particles (mol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00004",NA,NA,NA,NA,NA,"concentration of chylomicrons and extremely large vldl particles_mol_l__s5","BM00004","BM00004",TRUE,FALSE
"7","BM00005","[W1 Finland NMR Metabolomics] Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_total lipids in chylomicrons and extremely large vldl_mmol_l","BM00005","BM00005",TRUE,FALSE
"8","BM00005","Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"total lipids in chylomicrons and extremely large vldl_mmol_l","BM00005","BM00005",TRUE,FALSE
"9","BM00005","Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"total lipids in chylomicrons and extremely large vldl_mmol_l","BM00005","BM00005",TRUE,FALSE
"10","BM00005","Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"total lipids in chylomicrons and extremely large vldl_mmol_l","BM00005","BM00005",TRUE,FALSE
"11","BM00005","Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"total lipids in chylomicrons and extremely large vldl_mmol_l","BM00005","BM00005",TRUE,FALSE
"12","BM00005","Total lipids in chylomicrons and extremely large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00005",NA,NA,NA,NA,NA,"total lipids in chylomicrons and extremely large vldl_mmol_l__s5","BM00005","BM00005",TRUE,FALSE
"13","BM00006","[W1 Finland NMR Metabolomics] Phospholipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_phospholipids in chylomicrons and extremely large vldl_mmol_l","BM00006","BM00006",TRUE,FALSE
"14","BM00006","Phospholipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"phospholipids in chylomicrons and extremely large vldl_mmol_l","BM00006","BM00006",TRUE,FALSE
"15","BM00006","Phospholipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"phospholipids in chylomicrons and extremely large vldl_mmol_l","BM00006","BM00006",TRUE,FALSE
"16","BM00006","Phospholipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"phospholipids in chylomicrons and extremely large vldl_mmol_l","BM00006","BM00006",TRUE,FALSE
"17","BM00006","Phospholipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"phospholipids in chylomicrons and extremely large vldl_mmol_l","BM00006","BM00006",TRUE,FALSE
"18","BM00006","Phospholipids in chylomicrons and extremely large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00006",NA,NA,NA,NA,NA,"phospholipids in chylomicrons and extremely large vldl_mmol_l__s5","BM00006","BM00006",TRUE,FALSE
"19","BM00007","[W1 Finland NMR Metabolomics] Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_total cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00007","BM00007",TRUE,FALSE
"20","BM00007","Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"total cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00007","BM00007",TRUE,FALSE
"21","BM00007","Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"total cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00007","BM00007",TRUE,FALSE
"22","BM00007","Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"total cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00007","BM00007",TRUE,FALSE
"23","BM00007","Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"total cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00007","BM00007",TRUE,FALSE
"24","BM00007","Total cholesterol in chylomicrons and extremely large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00007",NA,NA,NA,NA,NA,"total cholesterol in chylomicrons and extremely large vldl_mmol_l__s5","BM00007","BM00007",TRUE,FALSE
"25","BM00008","[W1 Finland NMR Metabolomics] Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00008",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_cholesterol esters in chylomicrons and extremely large vldl_mmol_l","BM00008","BM00008",TRUE,FALSE
"26","BM00008","Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00008",NA,NA,NA,NA,NA,"cholesterol esters in chylomicrons and extremely large vldl_mmol_l","BM00008","BM00008",TRUE,FALSE
"27","BM00008","Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00008",NA,NA,NA,NA,NA,"cholesterol esters in chylomicrons and extremely large vldl_mmol_l","BM00008","BM00008",TRUE,FALSE
