"","metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"1","CHEM100003926_HMDB02095","3-Hydroxy-isovaleryl carnitine or Malonyl carnitine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHEM100003926_HMDB02095",NA,NA,NA,NA,NA,"3_hydroxy_isovaleryl carnitine or malonyl carnitine","CHEM100003926_HMDB02095","CHEM100003926_HMDB02095",FALSE,TRUE
"2","CHEM100003926_HMDB02095","3-Hydroxy-isovaleryl carnitine or Malonyl carnitine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHEM100003926_HMDB02095",NA,NA,NA,NA,NA,"3_hydroxy_isovaleryl carnitine or malonyl carnitine","CHEM100003926_HMDB02095","CHEM100003926_HMDB02095",FALSE,TRUE
"3","HMDB00072_HMDB00958","aconitate [cis or trans]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958",NA,NA,NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"4","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072",NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00072",NA,NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"5","HMDB00072_HMDB00958","aconitate [cis or trans]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958",NA,NA,NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"6","HMDB00072_HMDB00958","aconitate [cis or trans]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958",NA,NA,NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"7","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072",NA,NA,"C00417",NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00072","C00417",NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"8","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072,HMDB00958",NA,NA,"C00417,C02341",NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00072","C00417",NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"9","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072,HMDB00958",NA,NA,"C00417,C02341",NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00072","C02341",NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"10","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072,HMDB00958",NA,NA,"C00417,C02341",NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00958","C00417",NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"11","HMDB00072_HMDB00958","aconitate [cis or trans]","HMDB00072,HMDB00958",NA,NA,"C00417,C02341",NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00958","C02341",NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"12","HMDB00072_HMDB00958","aconitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958",NA,NA,NA,NA,NA,"aconitate","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"13","HMDB00072_HMDB00958","aconitate","HMDB00072",NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958","HMDB00072",NA,NA,NA,NA,"aconitate","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
"14","HMDB00072_HMDB00958","aconitate [cis or trans]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMDB00072_HMDB00958",NA,NA,NA,NA,NA,"aconitate_cis or trans","HMDB00072_HMDB00958","HMDB00072_HMDB00958",FALSE,TRUE
