"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"CHEM100000687","ciprofloxacin",NA,"4011971;2764",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","4011971","CHEM100000687",NA,NA,NA,NA,NA,"ciprofloxacin","CHEM100000687","CHEM100000687",FALSE,FALSE
"CHEM100000687","ciprofloxacin",NA,"4011971;2764",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","2764","CHEM100000687",NA,NA,NA,NA,NA,"ciprofloxacin","CHEM100000687","CHEM100000687",FALSE,FALSE
"CHEM100001274","N-acetylthreonine",NA,"152204;4651717",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","152204","CHEM100001274",NA,NA,NA,NA,NA,"n_acetylthreonine","CHEM100001274","CHEM100001274",FALSE,FALSE
"CHEM100001274","N-acetylthreonine",NA,"152204;4651717",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","4651717","CHEM100001274",NA,NA,NA,NA,NA,"n_acetylthreonine","CHEM100001274","CHEM100001274",FALSE,FALSE
"CHEM100003162","histidylleucine",NA,"189008;6992010","164234",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","189008","CHEM100003162",NA,NA,NA,"164234",NA,"histidylleucine","CHEM100003162","CHEM100003162",FALSE,FALSE
"CHEM100003162","histidylleucine",NA,"189008;6992010","164234",NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6992010","CHEM100003162",NA,NA,NA,"164234",NA,"histidylleucine","CHEM100003162","CHEM100003162",FALSE,FALSE
"CHEM100003162","histidylleucine",NA,"189008;6992010",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","189008","CHEM100003162",NA,NA,NA,NA,NA,"histidylleucine","CHEM100003162","CHEM100003162",FALSE,FALSE
"CHEM100003162","histidylleucine",NA,"189008;6992010",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6992010","CHEM100003162",NA,NA,NA,NA,NA,"histidylleucine","CHEM100003162","CHEM100003162",FALSE,FALSE
"CHEM100003163","isoleucylalanine",NA,"5246009;5246010",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5246009","CHEM100003163",NA,NA,NA,NA,NA,"isoleucylalanine","CHEM100003163","CHEM100003163",FALSE,FALSE
"CHEM100003163","isoleucylalanine",NA,"5246009;5246010",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5246010","CHEM100003163",NA,NA,NA,NA,NA,"isoleucylalanine","CHEM100003163","CHEM100003163",FALSE,FALSE
"CHEM100003178","isoleucylvaline",NA,"5246011;435949",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5246011","CHEM100003178",NA,NA,NA,NA,NA,"isoleucylvaline","CHEM100003178","CHEM100003178",FALSE,FALSE
"CHEM100003178","isoleucylvaline",NA,"5246011;435949",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","435949","CHEM100003178",NA,NA,NA,NA,NA,"isoleucylvaline","CHEM100003178","CHEM100003178",FALSE,FALSE
"CHEM100003184","leucylglutamate",NA,"5259589;5259590",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5259589","CHEM100003184",NA,NA,NA,NA,NA,"leucylglutamate","CHEM100003184","CHEM100003184",FALSE,FALSE
"CHEM100003184","leucylglutamate",NA,"5259589;5259590",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5259590","CHEM100003184",NA,NA,NA,NA,NA,"leucylglutamate","CHEM100003184","CHEM100003184",FALSE,FALSE
"CHEM100003208","tyrosylleucine",NA,"87071;7009561",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","87071","CHEM100003208",NA,NA,NA,NA,NA,"tyrosylleucine","CHEM100003208","CHEM100003208",FALSE,FALSE
"CHEM100003208","tyrosylleucine",NA,"87071;7009561",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","7009561","CHEM100003208",NA,NA,NA,NA,NA,"tyrosylleucine","CHEM100003208","CHEM100003208",FALSE,FALSE
"CHEM100003589","phenylalanylalanine",NA,"6993123;5488196",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6993123","CHEM100003589",NA,NA,NA,NA,NA,"phenylalanylalanine","CHEM100003589","CHEM100003589",FALSE,FALSE
