"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi"
"CHEM100000687","ciprofloxacin","","4011971;2764",NA,"","",NA
"CHEM100001274","N-acetylthreonine","","152204;4651717",NA,"","",NA
"CHEM100001274","N-acetylthreonine","","152204;4651717",NA,"","",NA
"CHEM100001992","4-androsten-3beta,17beta-diol disulfate 1*","HMDB03818","10634;87120982;87120980",NA,"","",NA
"CHEM100001992","4-androsten-3beta,17beta-diol disulfate 1*","HMDB03818","10634;87120982;87120980",NA,"","",NA
"CHEM100001994","4-androsten-3beta,17beta-diol disulfate 2*","HMDB03818","10634;87120982;87120980",NA,"","",NA
"CHEM100001994","4-androsten-3beta,17beta-diol disulfate 2*","HMDB03818","10634;87120982;87120980",NA,"","",NA
"CHEM100003162","histidylleucine","","189008;6992010",164234,"","",NA
"CHEM100003162","histidylleucine","","189008;6992010",NA,"","",NA
"CHEM100003163","isoleucylalanine","","5246009;5246010",NA,"","",NA
"CHEM100003178","isoleucylvaline","","5246011;435949",NA,"","",NA
"CHEM100003184","leucylglutamate","","5259589;5259590",NA,"","",NA
"CHEM100003184","leucylglutamate","","5259589;5259590",NA,"","",NA
"CHEM100003208","tyrosylleucine","","87071;7009561",NA,"","",NA
"CHEM100003589","phenylalanylalanine","","6993123;5488196",NA,"","",NA
"CHEM100003589","phenylalanylalanine","","6993123;5488196",NA,"","",NA
"CHEM100003645","valylphenylalanine","","6993119;6993120",NA,"","",NA
"CHEM100003645","valylphenylalanine","","6993119;6993120",NA,"","",NA
"CHEM100003645","valylphenylalanine","","6993119;6993120",NA,"","",NA
"CHEM100003650","valylvaline","","409682;4280382",NA,"","",NA
"CHEM100003892","lanthionine","","6994972;98504",88959,"","",NA
"CHEM100003892","lanthionine","","6994972;98504",NA,"","",NA
"CHEM100004056","N-methyltaurine","","6994586;7882",7594,"","",NA
"CHEM100005383","N-methylpipecolate","","11862129;11286529",NA,"","",NA
"CHEM100005383","N-methylpipecolate","","11862129;11286529",9461516,"","",NA
"CHEM100005383","N-methylpipecolate","","11862129;11286529",NA,"","",NA
"CHEM100005383","N-methylpipecolate","","11862129;11286529",NA,"","",NA
"CHEM100005840","allo-isoleucine","","6950182;99288",NA,"","",NA
"CHEM100005840","allo-isoleucine","","6950182;99288",NA,"","",NA
"CHEM100005840","allo-isoleucine","","6950182;99288",NA,"","",NA
"CHEM100006108","X - 18446","","101724840;101724800",NA,"","",NA
"CHEM100006115","arabonate/xylonate","","122045;6602431",NA,"","",NA
"CHEM100006430","arabitol/xylitol","","6912;94154",NA,"","",NA
"CHEM100008928","2-hydroxybutyrate/2-hydroxyisobutyrate","","440864;11671",NA,"","",NA
"CHEM100008930","oleate/vaccenate (18:1)","","445639;5282761;5281127",NA,"","",NA
"CHEM100009232","thioproline","","93176;6973609",84120,"","",NA
"COMP57814","(N(1) + N(8))-acetylspermidine","","123689;496",NA,"","",NA
