"metabolite_id","dataset_id","study_name","platform","merge_variable","input_metabolite_name","input_metabid","input_chemical_id","input_comp_id","input_hmdb_id","input_cas","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","Standardized name"
"AC40_OCTEN_CARN",54,"Catheterization Genetics","Newgard Laboratory @ Duke University","NEW UID","Octenedioyl carnitine","ac40",NA,"","","","",NA,"","",NA,NA
"ACYLCARNITINE_10_0_OH",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (10:0-OH) - Hydroxydecanoylcarnitine","acylcarnitine__10:0_oh____hydroxydecanoylcarnitine",NA,"","","","",NA,"","",73051,NA
"ACYLCARNITINE_12_0_OH",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (12:0-OH) - Hydroxydodecanoylcarnitine","acylcarnitine__12:0_oh____hydroxydodecanoylcarnitine",NA,"","","","",NA,"","",73056,NA
"ACYLCARNITINE_12_1_OH",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (12:1-OH) - Hydroxydodecenoylcarnitine","acylcarnitine__12:1_oh____hydroxydodecenoylcarnitine",NA,"","","","",NA,"","",73106,NA
"ACYLCARNITINE_14_0_OH",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (14:0-OH) - Hydroxytetradecanoylcarnitine","acylcarnitine__14:0_oh____hydroxytetradecanoylcarnitine",NA,"","","","",NA,"","",73063,NA
"ACYLCARNITINE_18_0_DC",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (18:0-DC)","acylcarnitine__18:0_dc_",NA,"","","","",NA,"","",NA,"CAR DC18:0"
"ACYLCARNITINE_18_1_DC",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (18:1-DC)","acylcarnitine__18:1_dc_",NA,"","","","",NA,"","",NA,"CAR DC18:1"
"ACYLCARNITINE_20_1",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (20:1)","acylcarnitine__20:1_",NA,"","","","",NA,"","",NA,"CAR 20:1"
"ACYLCARNITINE_20_1_VAR2",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (20:1)","acylcarnitine__20:1__2",NA,"","","","",NA,"","",NA,"CAR 20:1"
"ACYLCARNITINE_20_1_VAR3",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (20:1)","acylcarnitine__20:1__3",NA,"","","","",NA,"","",NA,"CAR 20:1"
"ACYLCARNITINE_20_3",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (20:3)","acylcarnitine__20:3_",NA,"","","","",NA,"","",NA,"CAR 20:3"
"ACYLCARNITINE_20_4",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (20:4)","acylcarnitine__20:4_",NA,"","","","",NA,"","",NA,"CAR 20:4"
"ACYLCARNITINE_22_6",73,"Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2","Imperial College London","NEW UID","Acylcarnitine (22:6)","acylcarnitine__22:6_",NA,"","","","",NA,"","",NA,"CAR 22:6"
