Unnamed: 0,original_index,input_metabolite_name,input_metabolite_name_final,multiple_isomers,multiple_identifiers,metabolite_id,input_hmdb_id,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
1,8005,arabonate/xylonate,arabonate_xylonate,True,True,CHEM100006115,,122045,,,,
1,1,arabonate,arabonate,True,True,CHEM100006115,,122045,,,,
1,1,xylonate,xylonate,True,True,CHEM100006115,,122045,,,,
2,8005,arabonate/xylonate,arabonate_xylonate,True,True,CHEM100006115,,6602431,,,,
2,2,arabonate,arabonate,True,True,CHEM100006115,,6602431,,,,
2,2,xylonate,xylonate,True,True,CHEM100006115,,6602431,,,,
3,8006,arabitol/xylitol,arabitol_xylitol,True,True,CHEM100006430,,6912,,,,
3,3,arabitol,arabitol,True,True,CHEM100006430,,6912,,,,
3,3,xylitol,xylitol,True,True,CHEM100006430,,6912,,,,
4,8006,arabitol/xylitol,arabitol_xylitol,True,True,CHEM100006430,,94154,,,,
4,4,arabitol,arabitol,True,True,CHEM100006430,,94154,,,,
4,4,xylitol,xylitol,True,True,CHEM100006430,,94154,,,,
5,8007,2-hydroxybutyrate/2-hydroxyisobutyrate,2_hydroxybutyrate_2_hydroxyisobutyrate,True,True,CHEM100008928,,11671,,,,
5,5,2-hydroxybutyrate,2_hydroxybutyrate,True,True,CHEM100008928,,11671,,,,
5,5,2-hydroxyisobutyrate,2_hydroxyisobutyrate,True,True,CHEM100008928,,11671,,,,
6,8007,2-hydroxybutyrate/2-hydroxyisobutyrate,2_hydroxybutyrate_2_hydroxyisobutyrate,True,True,CHEM100008928,,440864,,,,
6,6,2-hydroxybutyrate,2_hydroxybutyrate,True,True,CHEM100008928,,440864,,,,
6,6,2-hydroxyisobutyrate,2_hydroxyisobutyrate,True,True,CHEM100008928,,440864,,,,
7,8008,oleate/vaccenate (18:1),oleate_vaccenate_18_1,True,True,CHEM100008930,,445639,,,,
7,7,oleate,oleate,True,True,CHEM100008930,,445639,,,,
7,7,vaccenate (18:1),vaccenate_18_1,True,True,CHEM100008930,,445639,,,,
8,8008,oleate/vaccenate (18:1),oleate_vaccenate_18_1,True,True,CHEM100008930,,5281127,,,,
8,8,oleate,oleate,True,True,CHEM100008930,,5281127,,,,
8,8,vaccenate (18:1),vaccenate_18_1,True,True,CHEM100008930,,5281127,,,,
9,8008,oleate/vaccenate (18:1),oleate_vaccenate_18_1,True,True,CHEM100008930,,5282761,,,,
9,9,oleate,oleate,True,True,CHEM100008930,,5282761,,,,
9,9,vaccenate (18:1),vaccenate_18_1,True,True,CHEM100008930,,5282761,,,,
10,5846,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,,,,,,
10,10,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,,,,,,
10,10,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,,,,,,
11,5847,Linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,,,,,,
11,11,Linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,,,,,,
11,11,Linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,,,,,,
12,5850|5851,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate_alpha or gamma__18_3n3 or 6,True,False,HMDB01388_HMDB03073,,5280934,,C06427,,
12,12,linolenate [alpha; (18:3n3)],linolenate_alpha__18_3n3,True,False,HMDB01388_HMDB03073,,5280934,,C06427,,
12,12,linolenate [gamma; (18:3n6)],linolenate_gamma__18_3n6,True,False,HMDB01388_HMDB03073,,5280934,,C06427,,
13,6183,dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,,,,,,
13,13,dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,,,,,,
13,13,dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,,,,,,
14,6184,Dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,,,,,,
14,14,Dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,,,,,,
14,14,Dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,,,,,,
15,6189,dihomo-linolenate (20:3n3 or n6),dihomo_linolenate_20_3n3 or n6,True,False,HMDB02925,,5280581,,,,
15,15,dihomo-linolenate (20:3n3),dihomo_linolenate_20_3n3,True,False,HMDB02925,,5280581,,,,
15,15,dihomo-linolenate (20:3n6),dihomo_linolenate_20_3n6,True,False,HMDB02925,,5280581,,,,
16,8022,aconitate [cis or trans],aconitate_cis or trans,True,True,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
16,16,aconitate [cis],aconitate_cis,True,True,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
16,16,aconitate [trans],aconitate_trans,True,True,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
17,4423,aconitate [cis or trans],aconitate_cis or trans,True,False,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
17,17,aconitate [cis],aconitate_cis,True,False,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
17,17,aconitate [trans],aconitate_trans,True,False,HMDB00072_HMDB00958,HMDB0000072,,,C00417,,
18,4254,N-acetylglucosamine/N-acetylgalactosamine,n_acetylglucosamine_n_acetylgalactosamine,True,False,HMDB0000212_HMDB00215,HMDB0000215,24139,,,,
18,18,N-acetylglucosamine,n_acetylglucosamine,True,False,HMDB0000212_HMDB00215,HMDB0000215,24139,,,,
18,18,N-acetylgalactosamine,n_acetylgalactosamine,True,False,HMDB0000212_HMDB00215,HMDB0000215,24139,,,,
