"","input_pubchem_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_2",".row_id_moore","hmdb_id_final","biochemical_final_final_final","uid_01_final_2",".row_id_comets","source"
"1","4693933","HMDB0000020",NA,NA,NA,NA,"4_hydroxyphenylacetate","HMDB0000020",43,"HMDB0000020","p_hydroxyphenylacetic acid","HMDB0000020",544,"COMETS_MOORE"
"2","127","HMDB0000020",NA,NA,NA,NA,"4_hydroxyphenylacetate","HMDB0000020",44,"HMDB0000020","p_hydroxyphenylacetic acid","HMDB0000020",544,"COMETS_MOORE"
"3","15938965","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB0000045",45,"HMDB0000045","adenosine monophosphate","HMDB0000045",960,"COMETS_MOORE"
"4","6083","HMDB0000045",NA,NA,NA,NA,"adenosine 5'_monophosphate_amp","HMDB0000045",46,"HMDB0000045","adenosine monophosphate","HMDB0000045",960,"COMETS_MOORE"
"5","239","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",47,"HMDB0000056","beta_alanine","HMDB0000056",62,"COMETS_MOORE"
"6","239","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",47,"HMDB0000056","l_alanine","HMDB0000056",975,"COMETS_MOORE"
"7","239","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",47,"HMDB0000056","beta_alanine","HMDB0000161",978,"COMETS_MOORE"
"8","239","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",47,"HMDB0000056","l_alanine","HMDB0000161",979,"COMETS_MOORE"
"9","4755801","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",48,"HMDB0000056","beta_alanine","HMDB0000056",62,"COMETS_MOORE"
"10","4755801","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",48,"HMDB0000056","l_alanine","HMDB0000056",975,"COMETS_MOORE"
"11","4755801","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",48,"HMDB0000056","beta_alanine","HMDB0000161",978,"COMETS_MOORE"
"12","4755801","HMDB0000056",NA,NA,NA,NA,"beta_alanine","HMDB0000056",48,"HMDB0000056","l_alanine","HMDB0000161",979,"COMETS_MOORE"
"13","657272","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB0000086",49,"HMDB0000086","glycerophosphocholine","HMDB0000086",1005,"COMETS_MOORE"
"14","71920","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB0000086",50,"HMDB0000086","glycerophosphocholine","HMDB0000086",1005,"COMETS_MOORE"
"15","5257127","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB0000123",51,"HMDB0000123","glycine","HMDB0000123",101,"COMETS_MOORE"
"16","750","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB0000123",52,"HMDB0000123","glycine","HMDB0000123",101,"COMETS_MOORE"
"17","5951","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",53,"HMDB0000187","l_serine","HMDB0000187",77,"COMETS_MOORE"
"18","5951","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",53,"HMDB0000187","d_serine","HMDB0000187",5281,"COMETS_MOORE"
"19","5951","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",53,"HMDB0000187","l_serine","HMDB0003406",5284,"COMETS_MOORE"
"20","5951","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",53,"HMDB0000187","d_serine","HMDB0003406",5285,"COMETS_MOORE"
"21","6857581","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",54,"HMDB0000187","l_serine","HMDB0000187",77,"COMETS_MOORE"
"22","6857581","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",54,"HMDB0000187","d_serine","HMDB0000187",5281,"COMETS_MOORE"
"23","6857581","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",54,"HMDB0000187","l_serine","HMDB0003406",5284,"COMETS_MOORE"
"24","6857581","HMDB0000187",NA,NA,NA,NA,"serine","HMDB0000187",54,"HMDB0000187","d_serine","HMDB0003406",5285,"COMETS_MOORE"
"25","595","HMDB0000192",NA,NA,NA,NA,"cystine","HMDB0000192",55,"HMDB0000192","l_cystine","HMDB0000192",2114,"COMETS_MOORE"
"26","67678","HMDB0000192",NA,NA,NA,NA,"cystine","HMDB0000192",56,"HMDB0000192","l_cystine","HMDB0000192",2114,"COMETS_MOORE"
"27","1","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",57,"HMDB0000201","l_acetylcarnitine","HMDB0000201",933,"COMETS_MOORE"
"28","1","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",57,"HMDB0000201","acetylcarnitine","CHEBI57589",938,"COMETS_MOORE"
"29","1","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",57,"HMDB0000201","l_acetylcarnitine","CHEBI57589",939,"COMETS_MOORE"
"30","1","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",57,"HMDB0000201","acetylcarnitine","HMDB0000201",942,"COMETS_MOORE"
"31","7045767","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",58,"HMDB0000201","l_acetylcarnitine","HMDB0000201",933,"COMETS_MOORE"
"32","7045767","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",58,"HMDB0000201","acetylcarnitine","CHEBI57589",938,"COMETS_MOORE"
"33","7045767","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",58,"HMDB0000201","l_acetylcarnitine","CHEBI57589",939,"COMETS_MOORE"
"34","7045767","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB0000201",58,"HMDB0000201","acetylcarnitine","HMDB0000201",942,"COMETS_MOORE"
