X,input_pubchem_final,input_kegg_final,input_chebi_final,input_chemspider_final,input_inchikey_final,metabolite_id_final_2,.row_id_moore,uid_01_final_2,.row_id_comets,source,hmdb_merged,biochemical_merged
1,4693933,NA,NA,NA,NA,HMDB0000020,43,HMDB0000020,544,COMETS_MOORE,HMDB0000020,p_hydroxyphenylacetic acid;4_hydroxyphenylacetate
2,127,NA,NA,NA,NA,HMDB0000020,44,HMDB0000020,544,COMETS_MOORE,HMDB0000020,p_hydroxyphenylacetic acid;4_hydroxyphenylacetate
3,15938965,NA,NA,NA,NA,HMDB0000045,45,HMDB0000045,960,COMETS_MOORE,HMDB0000045,adenosine monophosphate;adenosine 5'_monophosphate_amp
4,6083,NA,NA,NA,NA,HMDB0000045,46,HMDB0000045,960,COMETS_MOORE,HMDB0000045,adenosine monophosphate;adenosine 5'_monophosphate_amp
5,239,NA,NA,NA,NA,HMDB0000056,47,HMDB0000056,62,COMETS_MOORE,HMDB0000056,beta_alanine
6,239,NA,NA,NA,NA,HMDB0000056,47,HMDB0000056,975,COMETS_MOORE,HMDB0000056,l_alanine;beta_alanine
7,239,NA,NA,NA,NA,HMDB0000056,47,HMDB0000161,978,COMETS_MOORE,HMDB0000056,beta_alanine
8,239,NA,NA,NA,NA,HMDB0000056,47,HMDB0000161,979,COMETS_MOORE,HMDB0000056,l_alanine;beta_alanine
9,4755801,NA,NA,NA,NA,HMDB0000056,48,HMDB0000056,62,COMETS_MOORE,HMDB0000056,beta_alanine
10,4755801,NA,NA,NA,NA,HMDB0000056,48,HMDB0000056,975,COMETS_MOORE,HMDB0000056,l_alanine;beta_alanine
11,4755801,NA,NA,NA,NA,HMDB0000056,48,HMDB0000161,978,COMETS_MOORE,HMDB0000056,beta_alanine
12,4755801,NA,NA,NA,NA,HMDB0000056,48,HMDB0000161,979,COMETS_MOORE,HMDB0000056,l_alanine;beta_alanine
13,657272,NA,NA,NA,NA,HMDB0000086,49,HMDB0000086,1005,COMETS_MOORE,HMDB0000086,glycerophosphocholine;glycerophosphorylcholine_gpc
14,71920,NA,NA,NA,NA,HMDB0000086,50,HMDB0000086,1005,COMETS_MOORE,HMDB0000086,glycerophosphocholine;glycerophosphorylcholine_gpc
15,5257127,NA,NA,NA,NA,HMDB0000123,51,HMDB0000123,101,COMETS_MOORE,HMDB0000123,glycine
16,750,NA,NA,NA,NA,HMDB0000123,52,HMDB0000123,101,COMETS_MOORE,HMDB0000123,glycine
17,5951,NA,NA,NA,NA,HMDB0000187,53,HMDB0000187,77,COMETS_MOORE,HMDB0000187,l_serine;serine
18,5951,NA,NA,NA,NA,HMDB0000187,53,HMDB0000187,5281,COMETS_MOORE,HMDB0000187,d_serine;serine
19,5951,NA,NA,NA,NA,HMDB0000187,53,HMDB0003406,5284,COMETS_MOORE,HMDB0000187,l_serine;serine
20,5951,NA,NA,NA,NA,HMDB0000187,53,HMDB0003406,5285,COMETS_MOORE,HMDB0000187,d_serine;serine
21,6857581,NA,NA,NA,NA,HMDB0000187,54,HMDB0000187,77,COMETS_MOORE,HMDB0000187,l_serine;serine
22,6857581,NA,NA,NA,NA,HMDB0000187,54,HMDB0000187,5281,COMETS_MOORE,HMDB0000187,d_serine;serine
23,6857581,NA,NA,NA,NA,HMDB0000187,54,HMDB0003406,5284,COMETS_MOORE,HMDB0000187,l_serine;serine
24,6857581,NA,NA,NA,NA,HMDB0000187,54,HMDB0003406,5285,COMETS_MOORE,HMDB0000187,d_serine;serine
25,595,NA,NA,NA,NA,HMDB0000192,55,HMDB0000192,2114,COMETS_MOORE,HMDB0000192,l_cystine;cystine
26,67678,NA,NA,NA,NA,HMDB0000192,56,HMDB0000192,2114,COMETS_MOORE,HMDB0000192,l_cystine;cystine
27,1,NA,NA,NA,NA,HMDB0000201,57,HMDB0000201,933,COMETS_MOORE,HMDB0000201,l_acetylcarnitine;acetylcarnitine
28,1,NA,NA,NA,NA,HMDB0000201,57,CHEBI57589,938,COMETS_MOORE,HMDB0000201,acetylcarnitine
29,1,NA,NA,NA,NA,HMDB0000201,57,CHEBI57589,939,COMETS_MOORE,HMDB0000201,l_acetylcarnitine;acetylcarnitine
30,1,NA,NA,NA,NA,HMDB0000201,57,HMDB0000201,942,COMETS_MOORE,HMDB0000201,acetylcarnitine
31,7045767,NA,NA,NA,NA,HMDB0000201,58,HMDB0000201,933,COMETS_MOORE,HMDB0000201,l_acetylcarnitine;acetylcarnitine
32,7045767,NA,NA,NA,NA,HMDB0000201,58,CHEBI57589,938,COMETS_MOORE,HMDB0000201,acetylcarnitine
33,7045767,NA,NA,NA,NA,HMDB0000201,58,CHEBI57589,939,COMETS_MOORE,HMDB0000201,l_acetylcarnitine;acetylcarnitine
34,7045767,NA,NA,NA,NA,HMDB0000201,58,HMDB0000201,942,COMETS_MOORE,HMDB0000201,acetylcarnitine
35,461,NA,NA,NA,NA,HMDB0000222,59,HMDB0000222,952,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
36,461,NA,NA,NA,NA,HMDB0000222,59,HMDB0000222,1705,COMETS_MOORE,HMDB0000222,+_palmitylcarnitine;palmitoylcarnitine
37,461,NA,NA,NA,NA,HMDB0000222,59,PUBCHEM16902,1708,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
38,461,NA,NA,NA,NA,HMDB0000222,59,PUBCHEM16902,1709,COMETS_MOORE,HMDB0000222,+_palmitylcarnitine;palmitoylcarnitine
39,461,NA,NA,NA,NA,HMDB0000222,59,HMDB0000222_M22189,3337,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
40,11953816,NA,NA,NA,NA,HMDB0000222,60,HMDB0000222,952,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
41,11953816,NA,NA,NA,NA,HMDB0000222,60,HMDB0000222,1705,COMETS_MOORE,HMDB0000222,+_palmitylcarnitine;palmitoylcarnitine
42,11953816,NA,NA,NA,NA,HMDB0000222,60,PUBCHEM16902,1708,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
43,11953816,NA,NA,NA,NA,HMDB0000222,60,PUBCHEM16902,1709,COMETS_MOORE,HMDB0000222,+_palmitylcarnitine;palmitoylcarnitine
44,11953816,NA,NA,NA,NA,HMDB0000222,60,HMDB0000222_M22189,3337,COMETS_MOORE,HMDB0000222,l_palmitoylcarnitine;palmitoylcarnitine
45,107735,NA,NA,NA,NA,HMDB0000243,61,HMDB0000243,3287,COMETS_MOORE,HMDB0000243,pyruvic acid;pyruvate
46,107735,NA,NA,NA,NA,HMDB0000243,61,HMDB0000243_M00599,3288,COMETS_MOORE,HMDB0000243,pyruvic acid;pyruvate
47,1060,NA,NA,NA,NA,HMDB0000243,62,HMDB0000243,3287,COMETS_MOORE,HMDB0000243,pyruvic acid;pyruvate
48,1060,NA,NA,NA,NA,HMDB0000243,62,HMDB0000243_M00599,3288,COMETS_MOORE,HMDB0000243,pyruvic acid;pyruvate
49,5283560,NA,NA,NA,NA,HMDB0000277,63,HMDB0000277,2394,COMETS_MOORE,HMDB0000277,sphingosine 1_phosphate;erythro_sphingosine_1_phosphate
50,10883396,NA,NA,NA,NA,HMDB0000277,64,HMDB0000277,2394,COMETS_MOORE,HMDB0000277,sphingosine 1_phosphate;erythro_sphingosine_1_phosphate
51,5283560,NA,NA,NA,NA,HMDB0000277,65,HMDB0000277,2394,COMETS_MOORE,HMDB0000277,sphingosine 1_phosphate
52,10883396,NA,NA,NA,NA,HMDB0000277,66,HMDB0000277,2394,COMETS_MOORE,HMDB0000277,sphingosine 1_phosphate
53,11966314,NA,NA,NA,NA,HMDB0000336,67,HMDB0000336,471,COMETS_MOORE,HMDB0000336,r_3_hydroxyisobutyric acid;3_hydroxyisobutyrate
54,87,NA,NA,NA,NA,HMDB0000336,68,HMDB0000336,471,COMETS_MOORE,HMDB0000336,r_3_hydroxyisobutyric acid;3_hydroxyisobutyrate
55,5862,NA,NA,NA,NA,HMDB0000574,69,HMDB0000574,2110,COMETS_MOORE,HMDB0000574,l_cysteine;cysteine
56,5862,NA,NA,NA,NA,HMDB0000574,69,HMDB0000574_M31453,3352,COMETS_MOORE,HMDB0000574,l_cysteine;cysteine
57,6419722,NA,NA,NA,NA,HMDB0000574,70,HMDB0000574,2110,COMETS_MOORE,HMDB0000574,l_cysteine;cysteine
58,6419722,NA,NA,NA,NA,HMDB0000574,70,HMDB0000574_M31453,3352,COMETS_MOORE,HMDB0000574,l_cysteine;cysteine
59,11412545,NA,NA,NA,NA,HMDB0000640,71,HMDB0000640,248,COMETS_MOORE,HMDB0000640,levoglucosan;1_6_anhydroglucose
60,2724705,NA,NA,NA,NA,HMDB0000640,72,HMDB0000640,248,COMETS_MOORE,HMDB0000640,levoglucosan;1_6_anhydroglucose
61,161166,NA,NA,NA,NA,HMDB0000684,73,HMDB0000684,2666,COMETS_MOORE,HMDB0000684,l_kynurenine;kynurenine
62,161166,NA,NA,NA,NA,HMDB0000684,73,CSID823,2843,COMETS_MOORE,HMDB0000684,kynurenine
63,161166,NA,NA,NA,NA,HMDB0000684,73,CSID823,2844,COMETS_MOORE,HMDB0000684,l_kynurenine;kynurenine
64,161166,NA,NA,NA,NA,HMDB0000684,73,HMDB0000684,2847,COMETS_MOORE,HMDB0000684,kynurenine
65,6971029,NA,NA,NA,NA,HMDB0000684,74,HMDB0000684,2666,COMETS_MOORE,HMDB0000684,l_kynurenine;kynurenine
66,6971029,NA,NA,NA,NA,HMDB0000684,74,CSID823,2843,COMETS_MOORE,HMDB0000684,kynurenine
67,6971029,NA,NA,NA,NA,HMDB0000684,74,CSID823,2844,COMETS_MOORE,HMDB0000684,l_kynurenine;kynurenine
68,6971029,NA,NA,NA,NA,HMDB0000684,74,HMDB0000684,2847,COMETS_MOORE,HMDB0000684,kynurenine
69,6106,NA,NA,NA,NA,HMDB0000687,75,HMDB0000687,84,COMETS_MOORE,HMDB0000687,l_leucine;leucine
70,6106,NA,NA,NA,NA,HMDB0000687,75,CAS_5699_54_7,2905,COMETS_MOORE,HMDB0000687,beta_leucine;leucine
71,6106,NA,NA,NA,NA,HMDB0000687,75,CAS_5699_54_7,2906,COMETS_MOORE,HMDB0000687,l_leucine;leucine
72,6106,NA,NA,NA,NA,HMDB0000687,75,HMDB0000687,2909,COMETS_MOORE,HMDB0000687,beta_leucine;leucine
73,7045798,NA,NA,NA,NA,HMDB0000687,76,HMDB0000687,84,COMETS_MOORE,HMDB0000687,l_leucine;leucine
74,7045798,NA,NA,NA,NA,HMDB0000687,76,CAS_5699_54_7,2905,COMETS_MOORE,HMDB0000687,beta_leucine;leucine
75,7045798,NA,NA,NA,NA,HMDB0000687,76,CAS_5699_54_7,2906,COMETS_MOORE,HMDB0000687,l_leucine;leucine
76,7045798,NA,NA,NA,NA,HMDB0000687,76,HMDB0000687,2909,COMETS_MOORE,HMDB0000687,beta_leucine;leucine
77,5459847,NA,NA,NA,NA,HMDB0000700,77,HMDB0000700,516,COMETS_MOORE,HMDB0000700,hydroxypropionic acid;3_hydroxypropanoate
78,68152,NA,NA,NA,NA,HMDB0000700,78,HMDB0000700,516,COMETS_MOORE,HMDB0000700,hydroxypropionic acid;3_hydroxypropanoate
79,12310288,NA,NA,NA,NA,HMDB0000708,79,HMDB0000708,1272,COMETS_MOORE,HMDB0000708,glycoursodeoxycholic acid;glycoursodeoxycholate
