"uid_01","hmdb_id","biochemical","original_index","original","contains_original","contains_derived","n_source_rows","multiple_identifiers","multiple_isomers","biochemical_final"
"HMDB0029389","HMDB0029389","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid",1,TRUE,TRUE,FALSE,1,FALSE,FALSE,"+_threo_2_amino_3_4_dihydroxybutanoic acid"
"HMDB0031806","HMDB0031806","( )-Naled",2,TRUE,TRUE,FALSE,1,FALSE,FALSE,"_naled"
"HMDB0033896","HMDB0033896","Anacardic acid",4,TRUE,TRUE,FALSE,1,FALSE,FALSE,"anacardic acid"
"HMDB0035417","HMDB0035417","(1R,2R)-1,2,7,7-Tetramethylbicyclo[2.2.1]heptan-2-ol",5,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1r_2r_1_2_7_7_tetramethylbicyclo_2_2_1_heptan_2_ol"
"HMDB0041545","HMDB0041545","(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol",6,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1r_2r_4r_1_8_epoxy_p_menthane_2_4_diol"
"HMDB0033574","HMDB0033574","(1R,2R,4R,8R)-p-Menthane-2,8,9-triol",7,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1r_2r_4r_8r_p_menthane_2_8_9_triol"
"HMDB0037942","HMDB0037942","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",8,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1xi_3xi_1_2_3_4_tetrahydro_1_methyl_beta_carboline_3_carboxylic acid"
"HMDB0030996","HMDB0030996","(2'E,4'Z,7'Z,8E)-Colnelenic acid",9,TRUE,TRUE,FALSE,1,FALSE,FALSE,"2'e_4'z_7'z_8e_colnelenic acid"
"HMDB0039590","HMDB0039590","(2E,4E)-2,4-Dodecadienal",10,TRUE,TRUE,FALSE,1,FALSE,FALSE,"2e_4e_2_4_dodecadienal"
"HMDB0039463","HMDB0039463","(3alpha,5alpha,22R,23R)-Cholestane-3,22,23-triol",11,TRUE,TRUE,FALSE,1,FALSE,FALSE,"3alpha_5alpha_22r_23r_cholestane_3_22_23_triol"
"HMDB0012114","HMDB0012114","(3S)-3,6-Diaminohexanoate",12,TRUE,TRUE,FALSE,1,FALSE,FALSE,"3s_3_6_diaminohexanoate"
"HMDB0041629","HMDB0041629","(3S,6E)-Nerolidol",13,TRUE,TRUE,FALSE,1,FALSE,FALSE,"3s_6e_nerolidol"
"HMDB0039052","HMDB0039052","(4S,8R)-8,9-Dihydroxy-p-menth-1(6)-en-2-one",14,TRUE,TRUE,FALSE,1,FALSE,FALSE,"4s_8r_8_9_dihydroxy_p_menth_1_6_en_2_one"
"HMDB0059632","HMDB0059632","(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate",15,TRUE,TRUE,FALSE,1,FALSE,FALSE,"9s_10s_10_hydroxy_9_phosphonooxy_octadecanoate"
"HMDB0059633","HMDB0059633","(9S,10S)-9,10-dihydroxyoctadecanoate",16,TRUE,TRUE,FALSE,1,FALSE,FALSE,"9s_10s_9_10_dihydroxyoctadecanoate"
"HMDB0033505","HMDB0033505","(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid",17,TRUE,TRUE,FALSE,1,FALSE,FALSE,"9z_11r_12s_13s_15z_12_13_epoxy_11_hydroxy_9_15_octadecadienoic acid"
"HMDB0031725","HMDB0031725","(E)-3-(2-Hydroxyphenyl)-2-propenal",18,TRUE,TRUE,FALSE,1,FALSE,FALSE,"e_3_2_hydroxyphenyl_2_propenal"
"HMDB0031180","HMDB0031180","(E,E)-2,4-Hexadienedial",20,TRUE,TRUE,FALSE,1,FALSE,FALSE,"e_e_2_4_hexadienedial"
"HMDB0031057","HMDB0031057","(R)-2-Hydroxyhexadecanoic acid",21,TRUE,TRUE,FALSE,1,FALSE,FALSE,"r_2_hydroxyhexadecanoic acid"
