"","input_metabolite_name_final","original_index_moore","contains_original_moore","contains_derived_moore","n_source_rows_moore","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers_moore","multiple_isomers_moore","original_moore","MLR_Harmonized_Name_moore",".row_id_moore","uid_01","hmdb_id","biochemical","original_index_comets","original_comets","contains_original_comets","contains_derived_comets","n_source_rows_comets","multiple_identifiers_comets","multiple_isomers_comets","biochemical_final","MLR_Harmonized_Name_comets",".row_id_comets"
"1","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",416,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",493
"2","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",419,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",496
"3","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1239,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1369
"4","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1240,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1370
"5","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1243,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1373
"6","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",2281,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",2417
"7","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",1,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",5468,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",6298
"8","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",416,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",493
"9","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",419,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",496
"10","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1239,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1369
"11","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1240,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1370
"12","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",1243,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",1373
"13","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",2281,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",2417
"14","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid",2,"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",5468,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid","10Z-Heptadecenoic acid",6298
"15","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",417,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",494
"16","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",422,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",499
"17","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",1241,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",1371
"18","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",2290,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",2426
"19","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",5469,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",6299
"20","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",6394,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",7165
"21","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid",5,"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",6395,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid","Nonadeca-10Z-enoic acid",7166
"22","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid",6,"HMDB0033724","HMDB0033724","Undecylenic acid",418,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid","10-Hendecenoic acid",495
"23","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid",6,"HMDB0033724","HMDB0033724","Undecylenic acid",423,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid","10-Hendecenoic acid",500
"24","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid",6,"HMDB0033724","HMDB0033724","Undecylenic acid",1238,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid","10-Hendecenoic acid",1368
"25","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid",6,"HMDB0033724","HMDB0033724","Undecylenic acid",1242,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid","10-Hendecenoic acid",1372
"26","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid",6,"HMDB0033724","HMDB0033724","Undecylenic acid",5365,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid","10-Hendecenoic acid",6214
"27","11_hete","6358",TRUE,FALSE,1,"HMDB0004682","HMDB04682",NA,"11-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"11R-HETE",11,"HMDB0004682","HMDB0004682","11(R)-HETE",429,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_r_hete","11R-HETE",507
