"","input_hmdb_id","hmdb_id","MLR_Harmonized_Name_moore","MLR_Harmonized_Name_comets","input_metabolite_name_final","original_index_moore","contains_original_moore","contains_derived_moore","n_source_rows_moore","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers_moore","multiple_isomers_moore","original_moore",".row_id_moore","uid_01","biochemical","original_index_comets","original_comets","contains_original_comets","contains_derived_comets","n_source_rows_comets","multiple_identifiers_comets","multiple_isomers_comets","biochemical_final",".row_id_comets","n_merged_rows"
"1","","","2-Amino-2-methylol-propane-1,3-diol","2-Amino-2-methylol-propane-1,3-diol","trizma_acetate","1666|1667","TRUE","FALSE","1","CHEM100000856","6503|8.12912E+12","trizma acetate","","C07182","","","FALSE","FALSE","","5999|6000","CHEM100000856","Trizma acetate","8110","TRUE","TRUE","FALSE","1","FALSE","FALSE","trizma acetate","8960",2
"2","","","2-Hydroxyisobutyric acid",NA,"2_hydroxybutyrate|2_hydroxybutyrate_2_hydroxyisobutyrate|2_hydroxyisobutyrate","8007","FALSE","TRUE","1","CHEM100008928","11671","2-hydroxybutyrate|2-hydroxybutyrate/2-hydroxyisobutyrate|2-hydroxyisobutyrate","","","","","TRUE","TRUE","FALSE","588|591|608","CHEM100008928","2-hydroxybutyrate/2-hydroxyisobutyrate","11359|1339|511|5853|587","TRUE","TRUE","FALSE","1","FALSE","FALSE","2_hydroxybutyrate_2_hydroxyisobutyrate","12074|1469|588|659|6658",15
"3","","","2S-Hydroxybutyric acid",NA,"2_hydroxybutyrate|2_hydroxybutyrate_2_hydroxyisobutyrate|2_hydroxyisobutyrate","8007","FALSE","TRUE","1","CHEM100008928","440864","2-hydroxybutyrate|2-hydroxybutyrate/2-hydroxyisobutyrate|2-hydroxyisobutyrate","","","","","TRUE","TRUE","FALSE","589|592|609","CHEM100008928","2-hydroxybutyrate/2-hydroxyisobutyrate","11359|1339|511|5853|587","TRUE","TRUE","FALSE","1","FALSE","FALSE","2_hydroxybutyrate_2_hydroxyisobutyrate","12074|1469|588|659|6658",15
"4","","","Alloisoleucine",NA,"allo_isoleucine","8003","FALSE","TRUE","1","CHEM100005840","99288","allo-isoleucine","","","","","TRUE","FALSE","","1225","CHEM100005840","Allo-isoleucine","1858|1859|1861","FALSE|TRUE","FALSE|TRUE","FALSE|TRUE","1","FALSE","FALSE","allo_isoleucine","12654|12656|1977",3
"5","","","Arabinonic acid",NA,"arabonate|arabonate_xylonate|xylonate","8005","FALSE","TRUE","1","CHEM100006115","122045","arabonate|arabonate/xylonate|xylonate","","","","","TRUE","TRUE","FALSE","1332|1336|7891","CHEM100006115","Arabonate/xylonate","11324|1975|1976|5813","TRUE","TRUE","FALSE","1","FALSE","FALSE","arabonate_xylonate","12046|2079|2080|6623",12
"6","","","Arabitol",NA,"arabitol|arabitol_xylitol|xylitol","8006","FALSE","TRUE","1","CHEM100006430","94154","arabitol|arabitol/xylitol|xylitol","","","","","TRUE","TRUE","FALSE","1320|1330|7887","CHEM100006430","Arabitol/xylitol","11348|1971|1972|1973|5833","FALSE|TRUE","FALSE|TRUE","FALSE|TRUE","1","FALSE","FALSE","arabitol_xylitol","12063|12658|2076|2077|6640",15
"7","","","Asparagine","Asparagine","asparagine","4732|4735|4740|4742","TRUE","FALSE","1","HMDB00168","|6267|PUBCHEM236","asparagine|Asparagine","","","","","FALSE","FALSE","TRUE","1371|1372|1373|1374","PUBCHEM236","Asparagine","2018|2019","FALSE|TRUE","FALSE|TRUE","FALSE|TRUE","1","FALSE","FALSE","asparagine","12667|2120",8
"8","","","CAR 2:0","CAR 2:0","acetylcarnitine","4864|4865|4869","TRUE","FALSE","1","HMDB00201","|1","acetylcarnitine|Acetylcarnitine","","","","","FALSE","FALSE","TRUE","1065|1066|1067","CHEBI57589","Acetylcarnitine","1789|3265","FALSE","FALSE","TRUE","1","FALSE","FALSE","acetylcarnitine","12650|12700",6
"9","","","Carnitine","Carnitine","carnitine","4385|4387|4391|4393","TRUE","FALSE","2","HMDB00062","|10917","carnitine|Carnitine","","|C00318","","","FALSE","FALSE","TRUE","2105|2106|2107","PUBCHEM288","Carnitine","3315","FALSE","FALSE","TRUE","1","FALSE","FALSE","carnitine","12726",3
"10","","","Cholesterol","Cholesterol","cholesterol","4407|4408|4413","TRUE","FALSE","1","HMDB00067","|11025495","cholesterol|Cholesterol","","","","","FALSE","FALSE","TRUE","2162|2163|2164","PUBCHEM5997","Cholesterol","3411","FALSE","FALSE","TRUE","1","FALSE","FALSE","cholesterol","12772",3
