"","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original","MLR_Harmonized_Name"
"1","10_heptadecenoate_17_1n7","7704",TRUE,FALSE,1,"HMDB0060038","HMDB60038","5312435","10-heptadecenoate (17:1n7)","4471860",NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid"
"2","10_heptadecenoic_acid_z","7705",TRUE,FALSE,1,"HMDB0060038","HMDB60038",NA,"10-Heptadecenoic acid. (Z)-",NA,NA,NA,NA,FALSE,FALSE,NA,"10Z-Heptadecenoic acid"
"3","10_nitrolinoleic_acid","4350",TRUE,FALSE,1,NA,"HMDB0005049","5282259","10-nitrolinoleic acid",NA,NA,"LELVHAQTWXTCLY-XYWKCAQWSA-N",NA,FALSE,FALSE,NA,NA
"4","10_nitrooleic_acid","5242",TRUE,FALSE,1,NA,"HMDB0062737","24836820","10-nitrooleic acid",NA,NA,"WRADPCFZZWXOTI-BMRADRMJSA-N",NA,FALSE,FALSE,NA,NA
"5","10_nonadecenoate_19_1n9","7502",TRUE,FALSE,1,"HMDB0013622","HMDB13622","5312513","10-nonadecenoate (19:1n9)","4471938",NA,NA,NA,FALSE,FALSE,NA,"Nonadeca-10Z-enoic acid"
"6","10_undecenoate_11_1n1","7645",TRUE,FALSE,1,"HMDB0033724","HMDB33724","14891","10-undecenoate (11:1n1)","10771160",NA,NA,NA,FALSE,FALSE,NA,"10-Hendecenoic acid"
"7","11_12_dihydroxyicosa_5_8_14_trienoic_acid","4311",TRUE,FALSE,1,NA,"HMDB0002314","5283146","11,12-Dihydroxyicosa-5,8,14-trienoic acid",NA,NA,"LRPPQRCHCPFBPE-KROJNAHFSA-N",NA,FALSE,FALSE,NA,"11,12-DiHETrE"
"8","11_12_epoxy_5_8_14_17_eicosatetraenoic_acid","7883",TRUE,FALSE,1,NA,"PUBCHEM16061087","16061087","11(12)-epoxy-5,8,14,17- eicosatetraenoic acid",NA,NA,"QHOKDYBJJBDJGY-BVILWSOJSA-N",NA,FALSE,FALSE,NA,"11(12)-EpETE"
"9","11_12_epoxyeicosa_5_8_14_trienoic_acid","7918",TRUE,FALSE,1,NA,"PUBCHEM5283204","5283204","11,12-Epoxyeicosa-5,8,14-trienoic acid",NA,NA,"DXOYQVHGIODESM-KROJNAHFSA-N",NA,FALSE,FALSE,NA,"11(12)-EpETrE"
"10","11_dehydrocorticosterone","1899",TRUE,FALSE,1,NA,"CHEM100002781",NA,"11-dehydrocorticosterone",NA,NA,NA,NA,FALSE,FALSE,NA,"Dehydrocorticosterone"
"11","11_hete","6358",TRUE,FALSE,1,"HMDB0004682","HMDB04682",NA,"11-HETE",NA,NA,NA,NA,FALSE,FALSE,NA,"11R-HETE"
